,Questions,Correct,A,B,C,D
0,"LFD2 was banned in Australia.
",True,False,True,,
1,"One of the remnants of this states former status as a possession of France is the fact that it was named after a French king.
",Louisiana,Oklahoma,Florida,Louisiana,Georgia
2,"No state has as many different species of mammals as this one. The average square mile of land contains 1.4 elk, 1.4 pronghorn antelope, and 3.3 deer.
",Montana,Nebraska,Nevada,Colorado,Montana
3,"Arizona became the 48th state on February 14, 1912.
",True,False,True,,
4,"The largest lake in this state is Lake Okeechobee. The state is also home to one of the two naturally round lakes in the world.
",Florida,Hawaii,Tennessee,Florida,Alabama
5,"One of the following pairs (state - its capital) is wrong.
",North Dakota - Fargo,Kentucky - Frankfort,Kansas - Topeka,Maine - Augusta,North Dakota - Fargo
6,"The 3rd Monday in April is Patriots Day - a legal holiday in this state.
",Massachusetts,California,Washington,Oregon,Massachusetts
7,"Francis Drake was 66 years old at his inauguration and the oldest governor of this state.
",Iowa,Nevada,Ohio,Minnesota,Iowa
8,"What is the state capital of Washington?
",Olympia,Olympia,Seattle,Walla Walla,Spokane
9,"What is the state capital of Oregon?
",Salem,Bend,Portland,Eugene,Salem
10,"What is the state capital of California?
",Sacramento,Sacramento,Los Angeles,San Diego,San Francisco
11,"What is the state capital of Idaho?
",Boise,Boise,Idaho Falls,Pocatello,Coeur DAlene
12,"What is the state capital of Nevada?
",Carson City,Reno,Las vegas,Carson City,Austin
13,"What is the state capital of Utah?
",Salt Lake city,Cedar City,Provo,Price,Salt Lake city
14,"What is the state capital of Arizona?
",Phoenix,Phoenix,Kingman,Tucson,Flagstaff
15,"What is the state capital of Alaska?
",Juneau,Kodiak,Juneau,Anchorage,Fairbanks
16,"During World War II, this country was able to successfully defend its freedom and resist invasions by the Soviet Union - despite some loss of territory. It joined the European Union in 1995.
",Finland,Poland,Czech Republic,Finland,Lituania
17,"This country shares common boundaries with every South American country except Chile and Ecuador.
",Brazil,Colombia,Argentina,Bolivia,Brazil
18,"After gaining its independence in 1991, it has retained closer political and economic ties to Russia than any of the other former Soviet republics.
",Belarus,Ukraine,Latvia,Bulgaria,Belarus
19,"It was once the center of power for an empire.  Occupied by the allies in 1945, a state treaty ended its occupation in 1955 and recognized its independence.
",Austria,Belgium,Denmark,Austria,Hungary
