,Questions,Correct,A,B,C,D
0,"What year did the sensational movie The Departed first hit the theatres in the United States?
",2006,2007,2004,2006,2005
1,"What city is the movie The Departed set in?
",Boston,New York,Boston,Chicago,Los Angeles
2,"How does Billy Costigan tell Sullivans girlfriend (the criminal psychiatrist) that he is an informant for the Irish mob?
",sends her a tape/dvd in the mail,meets her in an alley and divulges the information,sends her a tape/dvd in the mail,calls her on the phone,leaves her a note
3,"Who kills Sgt. Colin Sullivan at the end of the movie The Deprated?
",Staff Sgt. Sean Dignam,Frank Costello,Billy Costigan,Capt. George Ellerby,Staff Sgt. Sean Dignam
4,"The last scene in the movie The Departed shows a rodent crawling on Sullivans balcony railing. The rodent appears after Sullivan was shot in the head. What type of rodent was it?
",a rat,a castoroides,a mouse,a capybara,a rat
5,"What year did the sensational movie Rocky first hit the movie theatres?
",1976,1975,1976,1977,1978
6,"This Emmy Award-winning comedy series was based on the lives of four women living together in Miami Beach, Florida.
",Golden Girls,Golden Girls,Maude,Empty Nest,The Facts of Life
7,"This actor won the Emmy Award for Outstanding Lead Actor in a Comedy Series for his part as the bumbling Jack Tripper in Threes Company.
",John Ritter,John Ritter,Alan Alda,Judd Hirsch,Richard Mulligan
8,"Michael J. Fox won three consecutive Emmy Awards for Outstanding Actor in a Comedy Series for his role as Alex Keaton in the hit comedy series Family Ties.
",True,True,False,,
9,"This comedy starring Don Adams won two Emmy Awards for Outstanding Comedy Series in 1968 and 1969.
",Get Smart,Get Smart,The Fugitive,Mission: Impossible,Rowan  Martins Laugh-In
10,"The 60s pop band The Monkees starred in their own show of the same name and won two Emmy Awards for Outstanding Comedy Series in 1966 and 1967.
",False,True,False,,
11,"Shelley Long and Kirstie Alley both won Emmy Awards for Outstanding Lead Actress in a Comedy Series for this perennial Emmy nominee.
",Cheers,Cheers,Murphy Brown,Frasier,Mad About You
12,"Despite its immense popularity during its entire ten-year run, this show won its only Emmy Award for Outstanding Comedy Series in 2002.
",Friends,Friends,Frasier,Will and Grace,Everybody Loves Raymond
13,"What year did the Academy Award-nominated film As Good As It Gets first hit the theatres in the United States?
",1997,1997,1995,1998,1999
14,"What actor plays the part of the homosexual artist Simon Bishop in the hit movie As Good As It Gets?
",Greg Kinnear,Cuba Gooding Jr.,Jack Nicholson,Skeet Ulrich,Greg Kinnear
15,"What actor plays the part of Simon Bishops agent and friend, Frank Sachs, in the great movie As Good As It Gets?
",Cuba Gooding Jr.,Cuba Gooding Jr.,Jaheim Hoagland,Abuc Gnidoog,Cuba Gooding Sr.
16,"What does Melvin Udall do for a living in the great movie As Good As It Gets?
",Writer,Writer,Doorman,Doctor,Software Engineer
