,Questions,Correct,A,B,C,D
0,"What science did Aristotle define as â€˜the knowledge of immaterial beingâ€™?
",Metaphysics,Psychology,Logic,Metaphysics,Philosophy
1,"Which WWF group does this theme music belong to?
",D-Generation X,Nation of Domination,D-Generation X,Legion of Doom,Hart Foundation
2,"What position is former Major League Baseball player, Rollie Fingers famous for playing?
",Pitcher,Catcher,First Base,Pitcher,Third Base
3,"What position is former baseball player for the Cincinnati Reds, Johnny Bench famous for playing?
",Catcher,Second Base,Shortstop,Catcher,Pitcher
4,"Baltimore Orioles, Cal Ripken Jr. is most known for playing what position?
",Shortstop,Right Field,Catcher,Pitcher,Shortstop
5,"Steve Garvey is a famous former baseball player, who is known for playing what position?
",First Base,First Base,Shortstop,Third Base,Catcher
6,"What position is former Major League Baseball player, Joe Morgan most known to have played?
",Second Base,Outfield,None of these,Second Base,Catcher
7,"What position is former professional baseball player, Mike Schmidt famous for playing?
",Third Base,Pitcher,Catcher,Third Base,Second Base
8,"Which of these positions is former baseball player, Dwight Evans most famous for?
",Right Field,Right Field,Pitcher,Second Base,Center Field
9,"Successful Major League Baseball player and coach, Donald Edward Don Gullett, was famous for playing what position?
",Pitcher,Pitcher,Second Base,Right Field,Catcher
10,"Whitey Ford was a successful Major League Baseball player, who played in what position?
",Pitcher,Pitcher,First Base,Catcher,Shortstop
11,"Carlton Fisk was a successful Major League Baseball player, who played for 24 years with the Boston Red Sox and Chicago White Sox, in what position?
",Catcher,Catcher,Pitcher,Left Field,None of the Above
12,"The Pittsburgh Steelers of the 50s had a third string quarterback from Louisville, who was not making it. They cut him and he landed with the Colts. Who was he?
",Johnny Unitas,Terry Bradshaw,Bert Jones Jr,Len Dawson,Johnny Unitas
13,"Which was the first football team to win back to back Super Bowls with different coaches?
",San Francisco,San Francisco,Dallas,Miami,Pittsburgh
14,"How many points did Wilt Chamberlain score in his best game versus New York?
",100,71,100,82,99
15,"He is the youngest NBA player to score 10,000 points.
",Kobe Bryant,Spud Webb,Kobe Bryant,Moses Malone,Michael Jordon
16,"He is the shortest player ever to win the Slam Dunk Contest.
",Spud Webb,Kobe Bryant,Spud Webb,Vince Carter,Tracy McGrady
17,"He retired with the NBAs highest scoring average (30.1 points per game).
",Michael Jordan,Jarmaine ONeal,Shaquille ONeal,Dwyane Wade,Michael Jordan
18,"Karl Malone received the award Most Valuable Player in 1996-97. What team did he play for?
",Utah Jazz,Sacramento Kings,Miami Heat,LA Lakers,Utah Jazz
19,"He is the NBAs All-Time scorer.
",Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,Ken Johnson,Clyde Lovelette,Michael Jordan
20,"Wilt Chamberlain is a great player indeed. In a game against the Celtics he made the best rebounding effort ever. How many rebounds did he make in this famous game?
",55,16,57,55,31
21,"Who is the first player to top 20,000 points in NBA?
",Bob Pettit,Bob Pettit,Spud Webb,Clyde Drexler,Wilt Chamberlain
22,"George Muresan and Manute Bol are the tallest players in NBA history. How tall are they?
",77 (2.31m),77 (2.31m),72 (2.18m),78 (2.33m),74 (2.23m)
23,"Who is the shortest player in the history of NBA?
",Tyronne Bogues,Tyronne Bogues,Spud Webb,Larry Bird,Eddie Griffin
24,"He was a player, coach, and owner  -all for one team. He was also instrumental in developing the NFL.
",George Halas,Wellington Mara,George Halas,Red Grange,Pete Rozelle
25,"This college and pro great had a very strange nickname -Crazy Legs.   His last name was Hirsch.  What was his real first name ?
",Elroy,Lester,Arnie,Cliff,Elroy
26,"Compton Junior College gave us this all-time great runner, who played fullback and was nicknamed Joe the Jet.
",Perry,Battles,Neale,Sanders,Perry
27,"His real name is Yelverton Abraham, and he played for San Francisco as well as the NY Giants. He attended LSU.
",Tittle,Motley,Strong,Groza,Tittle
28,"This great sportsman was the first football player to be all-pro at defensive back one year and running back another.
",Gifford,Grange,Thorpe,Gifford,Haynes
29,"This quarterback was cut by the Steelers and picked up by another team, played in high tops, and his teammates include Lenny Moore and Steve Myhra.
",Johnny Unitas,Terry Bradshaw,Johnny Unitas,John Brodie,Norm Van Brocklin
30,"This great defensive end came from South Carolina State and played for the Rams. He is credited with inventing the head slap move.
",David Jones,Lamar Lundy,David Jones,Merlin  Olsen,Rosy Grier
31,"This great running back was once traded for eleven players.  He had great speed and great moves, returned kicks, caught passes, and ran the ball.
",Ollie Matson,Barry Sanders,Ollie Matson,Dick Lane,Marcus Allen
32,"This great football player is known for catching the immaculate reception .
",Franco Harris,O.J. Simpson,Lynn Swann,John Stallworth,Franco Harris
33,"Many of the greatest coaches, both pro and college, trace their learning to Miami University of Ohio and the teachings of this coaching great, who led Cleveland to many championships.
",Paul Brown,Woody  Hayes,Weeb Ewbank,Paul Brown,Don Shula
34,"When did Miami Heat enter the NBA?
",1988,1988,1974,1963,1958
35,"How many teams does the Atlantic Division of the Eastern Conference have?
",5,7,4,10,5
36,"Larry Brown led this team from 1997 to 2003.
",Philadephia 76ers,Chicago Bulls,LA Lakers,Denver Nuggets,Philadephia 76ers
37,"Mark Price, Larry Nance, Brad Daugerty, Shawn Kemp and Austin Carr have been chosen to be this teams all-time starting five.
",Cleveland Cavaliers,Cleveland Cavaliers,Philadelphia 76ers,Denver Nuggets,Houston Rockets
38,"This team is one of the five playing in the Southwest Division of the Western Conference. Tracy McGrady (as of 2005)  plays for this team.
",Houston Rockets,Houston Rockets,Minnesota Timberwolves,Utah Jazz,San Antonio Spurs
39,"Arguably the most famous NBA team. Michael Jordan played for this team.
",Chicago Bulls,Miami Heat,Utah Jazz,Sacramento Kings,Chicago Bulls
40,"Which division do the Sacramento Kings play in?
",Pacific Division of the Western Conference,Southwest Division of the Western Conference,Atlantic Division of the Eastern Conference,Pacific Division of the Western Conference,Central Division of the Eastern Conference
41,"This team drafted and then exchanged for another player Chris Webber in 1993.
",Orlando Magic,Orlando Magic,Sacramento Kings,Golden State Warriors,Miami Heat
42,"This team won its first division title in the 1969-70 season, when Spencer Heywood signed with the club.
",Denver Nuggets,Philadelphia 76ers,Detroit Pistons,Chicago Bulls,Denver Nuggets
43,"This team moved to Detroit in 1957. It was founded by Fred Zollner in 1940.
",Pistons,Knicks,Warriors,Pistons,Lakers
44,"Which of these people founded the World Wrestling Entertainment, Inc?
",Vincent McMahon,Hulk Hogan,Shane McHamon,Vincent McMahon,Ric Flair
45,"Professional wrestler Ric Flair was once manager of the WWEs RAW brand.
",False,True,False,,
46,"In professional wrestling, the high side thrust kick, often used by Shawn Michaels as a finishing move, is also known by what name?
",Sweet Chin Music,Leg Drop,Sweet Chin Music,Batista Bomb,5 Star
47,"RAW wrestling star Kurt Angle was shaved on stage after a match with Edge in 2002.
",True,True,False,,
48,"Has wrestler Bret Hart been inducted in the WWE Hall of Fame?
",Yes,Yes,No,,
49,"What number did Hank Aaron wear for the Atlanta Braves?
",44,26,44,7,15
50,"In Major League Baseball, first and second bases are this far apart.
",90,85,95,90,93
51,"How many home runs did Hank Aaron hit in his career?
",755,609,625,750,755
52,"How many innings are in a Little League baseball game, excluding extra innings?
",6,6,5,8,7
53,"How many games are in a Major League Baseball season per team?
",162,155,162,160,170
54,"For what team did Tony Dorsett play after he left the Cowboys?
",Denver Broncos,Houston Oilers,Minnesota Vikings,Pittsburgh Steelers,Denver Broncos
55,"In what year did Roger Staubach win the Heisman Trophy?
",1963,1963,1962,1965,1964
56,"The Cowboys had the first selection in the 1974 draft. Who did they take?
",Ed Too Tall  Jones,Tony Dorsett,Thomas Henderson,Ed Too Tall  Jones,Randy White
57,"Troy Aikman graduated from UCLA, but where did he begin his college career?
",Oklahoma,Miami,Stanford,Oklahoma,Texas
58,"Which of these players won the Super Bowl MVP despite his teams loss?
",Chuck Howley,Roger Staubach,Harvey Martin,Randy White,Chuck Howley
59,"The Cowboys were originally called the Dallas Texans.
",False,True,False,,
60,"Which of these Cowboys won the Super Bowl XII MVP trophy?
",Harvey Martin,Harvey Martin,Tony Dorsett,Duane Thomas,Michael Irvin
61,"Chicago Bulls drafted this player in 1984, who is probably the best in the NBA ever. He played his final game on April 16, 2003.
",Michael Jordan,Shaquille ONeal,Magic Johnson,Kevin Garnett,Michael Jordan
62,"He was selected by the Phoenix Suns in the first round (15th pick overall) of the 1996 NBA Draft.  In 2005 he was awarded MVP (most valuable player).
",Steve Nash,Carmelo Anthony,Karl Malone,Kobe Bryant,Steve Nash
63,"Rashard Lewis was the 3rd pick in 1998.
",False,False,True,,
64,"He was drafted in 2002 by Phoenix Suns, right after Nikoloz Tskitishvili , Dajuan Wagner, Nene, and Chris Wilcox.
",Amare Stoudemire,Shawn Kemp,LeBron James,Jason Kidd,Amare Stoudemire
65,"This player was drafted in 1962 by the Celtics. He is also known as Hondo.
",Jonh Havlicek,Maurice Cheeks,Jonh Havlicek,Peja Sojakovich,Sam Jones
66,"In 1986 Detroit Pistons had great luck- they made two good draft picks. One of them was John Salley and the other was the 27th selected player.
",Dennis Rodman,LeBron James,Vlade Divac,Dennis Rodman,Chris Webber
67,"Although this player was the 36th selected player drafted by the Philadelphia 76ers in 1978, he turned out to be the best point guard drafted that year.
",Maurice Cheeks,Jerome James,Maurice Cheeks,Butch Lee,Butch Lee
68,"Although he wasnt the best player on his college team, he became an All-Star player in his fifth season. Detroit Pistons drafted him in 1971.
",Curtis Rowe,Roko Ukic,Curtis Rowe,Ben Gordon,Jackson Vroman
69,"This player was the 31st selected in 2001 draft by the Golden State Warriors.  He and Jamison was chossen to represent the Washington Wizards at the 2005 NBA All-Star Game.
",Gilbert Arenas,Carmelo Anthony,Ben Gordon,Vlade Divac,Gilbert Arenas
70,"This European player was drafted in 2001 by the San Antonio Spurs. He became the youngest player ever to appear in a game with the Spurs making his NBA debut at 19 years old.
",Tony Parker,Tony Parker,Vlade Divac,Peja Stojakovic,Raul Lopez
71,"Before they were the Detroit Pistons, the Pistons played in this city.
","Ft. Wayne, Indiana","Gary, Indiana","Louisville, Kentucky","Ft. Wayne, Indiana","Cincinnati, Ohio"
72,"Before they were the L.A. Lakers, they played in this city.
",Minneapolis,Denver,Milwaukee,Minneapolis,Cincinnati
73,"Where were the NBA Hawks located, before moving to Atlanta?
","St. Louis,MO","Rochester, NY","Syracuse, NY","Cincinnati, OH","St. Louis,MO"
74,"These are the only two original NBA teams that never  moved.
",Knicks and Celtics,Warriors and Bulls,Bulls and Celtics,Knicks and Celtics,Warriors and Knicks
75,"Where did the Atlanta Braves team originate?
",Boston,Boston,They were always in Atlanta,Sacramento,Milwaukee
76,"Where were the Dodgers playing before they moved to L.A.?
","Brooklyn, NY","Newark, NJ","Sacramento, CA","Brooklyn, NY","Washington, DC"
77,"What was the original home to the NFL Rams?
","Cleveland, OH","Cincinnati, OH","Canton, OH","L.A., CA","Cleveland, OH"
78,"Where did the Philadelphia Eagles use to play?
",Pittsburgh and Philadelphia,"Rochest, NY",Pittsburgh and Philadelphia,"Cincinnati, OH","Canton, OH"
79,"To which city do the Sacramento Kings trace their origins?
","Rochester, NY","Washington, DC","Pittsburgh, PA","Louisville, KY","Rochester, NY"
80,"Where did the San Francisco Giants play before San Francisco?
","New York, NY","Washington, DC","Buffalo, NY","Atlanta, GA","New York, NY"
81,"This team won the 1994 NCAA Division I-A national football championship. The motto of the team is: Not the victory but the action. Not the goal but the game. In the deed the glory.
",Nebraska,Nebraska,Oklahoma,Ohio State,Florida St
82,"In 1927 this Ivy League team won the NCAA Division I-A national football championship.
",Yale,Harvard,Army,Princeton,Yale
83,"In 1958, this team shared their first title from NCAA Division I-A national football championship with Iowa.
",LSU,LSU,Army,BYU,Florida
84,"This team won the 2005 NCAA Football Championship, lead by head coach Mack Brown
",Texas,Notre Dame,Texas,LSU,USC
