,Questions,Correct,A,B,C,D
0,"One of Johnny Depps earliest film roles was as Gator Lerner in what 1986 movie?
",Platoon,The Color of Money,Platoon,Top Gun,Aliens
1,"Which of these Tim Burton films, starring Johnny Depp, came first?
",Edward Scissorhands,Charlie and the Chocolate Factory,Ed Wood,Sleepy Hollow,Edward Scissorhands
2,"This Scottish author, portrayed by Johnny Depp in the movie Finding Neverland, created the fictional character Peter Pan.
",James Barrie,John Dunne,George Eliot,Joseph Grimm,James Barrie
3,"In the 2001 movie Blow, Johny Depps role is based on the real life story of his character.
",True,True,False,,
4,"What is the first name of Johnny Depps character in the 2004 film Secret Window?
",Mort,Tom,Alan,Lou,Mort
5,"Johnny Depp played the role of Inspector Fred Abberline in what 2001 film?
",From Hell,From Hell,Nick of Time,Chocolat,The Astronauts Wife
6,"Johnny Depp publicly stated that he, in part, had based his portrayal of Captain Jack Sparrow in Pirates of the Caribbean: The Curse of the Black Pearl on which musician?
",Keith Richards,Jim Morrison,Ozzy Osbourne,Mick Jagger,Keith Richards
7,"In the 1993 movie Whats Eating Gilbert Grape, Gilbert Grape is the name of the character played by Johnny Depp.
",True,False,True,,
8,"When was Elvis born?
","January 8, 1935","January 8, 1935","January 8, 1977","August 16, 1935","August 8, 1977"
9,"Who were Elviss parents?
",Gladys and Vernon,Billy and Joseph,Gladys and Vernon,Lisa Marie and Vernon,Priscilla and Dee
10,"What is Elviss mansion called?
",Graceland,Neverland,Swampland,Kingstown,Graceland
11,"What town was Elvis born in?
",Tupelo,Branson,Memphis,Tupelo,Nashville
12,"He played Nicholas Bradford on the ultra popular 70s sitcom Eight is Enough.
",Adam Rich,Adam Rich,Jason Bateman,Meeno Peluce,Danny Pintauro
13,"Rapper turned actor Will Smith married this actress in 1997.
",Jada Pinkett,Brandy Norwood,Nia Long,Jada Pinkett,Shia LeBeouf
14,"Former tennis great Steffi Graf married this former tennis great in 2001.
",Andre Agassi,John McEnroe,Boris Becker,Andre Agassi,Jimmy Connors
15,"In 1997, Actor Matthew Broderick married this Sex and the City star.
",Sarah Jessica Parker,Kristen Davis,Sarah Jessica Parker,Cynthia Nixon,Kim Catrall
16,"What famous actor did Catherine Zeta Jones marry in 2000?
",Michael Douglas,Kirk Douglas,Michael Douglas,Jeff Bridges,Lloyd Bridges
17,"Actor James Brolin married this famous singer in 1998.
",Barbra Streisand,Aretha Franklin,Barbra Streisand,Bette Midler,Maria Muldaur
18,"Singer Jennifer Lopez married this famous singer in 2004.
",Mark Anthony,Dave Grohl,Enrique Iglesias,Gavin Rossdale,Mark Anthony
19,"Actor Ben Stiller married this actress in 2000.
",Christine Taylor,Pam Anderson,Nikki Taylor,Christine Taylor,Heather Graham
20,"In 2002, pop diva Gwen Stefani married the former lead singer of the band Bush. What is the name of Stefanis significant other?
",Gavin Rossdale,Ross Gavindale,Nigel Pulsford,Gavin Rossdale,Chris Traynor
21,"What actor did Demi Moore marry in 2005?
",Ashton Kutcher,Ashton Kutcher,Bruce Willis,Brendan Fraser,Patrick Dempsey
22,"In 2005, actress Jennifer Garner married this Hollywood movie star.
",Ben Affleck,Matt Houston,Matt Damon,Ben Affleck,John Stamos
23,"This actor made his film debut in Rubberface and followed it with appearances in Copper Mountain, Once Bitten and Peggy Sue Got Married before he hit the big time.
",Jim Carrey,Dean Cain,Jim Carrey,Matt Dillon,Alan Cumming
24,"This American actor played the roles of Mr. Big in the 007 film Live and Let Die and Parker in the hit Sci-Fi movie Alien.  He later starred in the TV show Homicide: Life on the Street.
",Yaphet Kotto,Yaphet Kotto,Nicholas Downs,Dana Carvey,George Chakiris
25,"This British actor is the eldest of a pair of twins and who played George Weasley in the Harry Potter series of films.
",Oliver Phelps,Yaphet Kotto,Sean Astin,Samuel Sarpong,Oliver Phelps
