,Questions,Correct,A,B,C,D
0,"What is NOT one of Strong Bads favorite bands in the Internet cartoon Homestar Runner?
",sloshy,sloshy,Peter Frampton,Limozeen,Taranchula
1,"Speaking of the famous fairy tale, that girl with the long hair was named which of these plants?
",Rampion,Rampion,Turnip,Lettuce,Safflower
2,"Sleeping Beauty pricked her finger on the part of a spinning wheel that does this.
",Twists the fibres into a thread,Collects the finished thread,Powers the wheel,Twists the fibres into a thread,Sorts the finished threads
3,"Why does Cinderella wear a glass slipper?
",Glass shoes sound like something a princess would wear.,Glass shoes sound like something a princess would wear.,"Vair (fur), was mistaken for verre (glass).",They were a symbol of her purity.,Glass shoes were worn by royalty.
4,"The Little Mermaid refused to kill the prince, so she eventually ends up as this.
",A daughter of the air.,A block-buster animated film.,Foam on the waves.,A mermaid again.,A daughter of the air.
5,"Only one of the following descriptions of the features of Snow White is true.  Can you spot it?
",Wooden hair.,Hemophiliac lips.,Rosaceae cheeks.,Ice crystal eyes.,Wooden hair.
6,"Referring to a well-known fairy tale, the millers daughter had to spin what?
",Dry stalks of wheat.,Dried stalks of marsh plant.,Dry stalks of grass.,Dry stalks of corn.,Dry stalks of wheat.
7,"The witch in Hansel and Gretel was probably raised in this part of the world.
",Eastern Europe,England,Italy,Eastern Europe,The Middle East
8,"Referring to the popular fairy tale, what is the name of the goose girls enchanted horse?
",Falada - to speak,Saladin - righteousness,Fallow - pale in colour,Falada - to speak,Salada - white as salt
9,"Poor Eliza of the famous fairy tale, had to make eleven shirts of what plant?
",Urticaceae,Belladonna,Urticaria,Belonidae,Urticaceae
10,"How many siblings does Ron have?
",6,6,8,3,none
11,"What does Ron hate the most about himself?
",Being poor,Being poor,Being the youngest boy in his family,Being unpopular,Not being in Slytherin
12,"Who does Ron take to the Yule ball?
",Padma Patil,Parvati Patil,Padma Patil,Hermione Granger,Ginny Weasley
13,"Rons mom is part of the order of the phoenix.
",True,True,False,,
14,"What is Rons full name?
",Ronald Bilius Weasley,Ronald Perkins Weasley,Ronald Arthur Weasley,Ronald J. Weasley,Ronald Bilius Weasley
15,"Has Ron ever been dead?
",No,No,Yes,,
16,"Who is Rons idol?
",Viktor Krum,Oliver Wood,Cedric Diggory,Viktor Krum,Harry Potter
17,"In which of the first six books does Ron face Voldemort?
",Never,Goblet of Fire,Never,Half-Blood Prince,Sorcerers Stone
18,"Which charm did Doby the House Elf use to get Harry Potter in huge trouble with his Uncle?
",A hover charm,A clutter charm,A disturbance charm,A flutter charm,A hover charm
19,"What is the full name of Harry Potters Headmaster, as revealed in the 5th book?
",Albus Percival Wulfric Brian Dumbledore,Albus Abelforth Wulfric Brian Dumbledore,Albus Nicholas Abelforth Dumbledore,Albus Percival Wulfric Brian Dumbledore,Albus Wulfric Nicholas Dumbledore
20,"Aside from a bit of the person you wish to become, what are the other ingredients used to make Polyjuice Potion, as seen in the 2nd book of Harry Potter?
","Lacewing flies, leeches, powdered bicorn horn, knotgrass, fluxweed, and boomslang skin","Lacewing flies, leeches, powdered bicorn horn, knotgrass, fluxweed, and boomslang skin","Porcupine quills, leeches, lacewing flies, valerian roots, and boomslang skin","Powdered dragon horn, moonstone, lacewing flies, boomslang skin, dried nettles, and valerian roots","Moonstone, lacewing flies, boomslang skin, dried nettles, knotgrass, and bubotuber pus"
21,"In the first task of the Triwizard Tournament (Harry Potter and the Goblet of Fire ), each champion has to fight a different breed of dragon.  Which dragon does Fleur Delacour face?
",Welsh Green,Swedish Short-Snout,Welsh Green,Hungarian Horntail,Chinese Fireball
22,"At Harry Potters trial during the 5th book, Madam Bones refers to Harrys patronus a corporal patronus.  What makes Harrys patronus corporal?
",His patronus is consistent enough to always have a defined shape to it,His patronus is strong enough to complete its intended task,His patronus is consistent enough to always have a defined shape to it,His patronus is so dependable that it becomes the same animal everytime,His patronus is so well developed it has a commanding presence whenever it is conjured
23,"Harry Potters Dudley Dursley has had many traumatic encounters with wizards.  Which of the following has not happened to him?
",He breaks out in horrible zits,He gets a pigs tail,He breaks out in horrible zits,His tongue is enlarged to almost 4 feet,He gets attacted by dementors
24,"In the Harry Potter books, Fred and George invented a lot of products for their store, Weasleys Wizard Wheezes.  Which of the following products was not one invited by Fred and George?
",Coughing Cakes,Self-Inking Quills,Fever Fudge,Coughing Cakes,Pygmy Puff
25,"In Harry Potter and the Prisoner of Azkaban, Hermione is given a time turner so she is able to make it to all of her extra classes.  Which of the following classes does she not take?
",Alchemy,Arithmancy,Astronomy,Ancient Runes,Alchemy
26,"Who was the last person Harry talked to in the book?
",Hermoine,Hermoine,Ron,Dumbledore,Hagrid
27,"What did the Dursleys send Harry for Christmas?
",A fifty pence piece,Nothing,An owl,A fifty pence piece,A sneak-o-scope
28,"Rons sisters name is?
",Ginny,Ginny,George,Ginger,Grace
29,"Hermoine broke her wrist when she fell off a broom.
",False,True,False,,
30,"Who is the poltergeist that lives at Hogwarts?
",Peeves,Pee-wee,Peeves,Pippy,Petry
31,"What type of candy did Dumbledore offer McGonagell?
",Lemon Drop,Every Flavor Jellybeans,Lemon Drop,Cockroach Cluster,Mr. Goodbar
32,"Dudleys gang consisted of Piers, dennis, Malcolm and Gordon.
",True,False,True,,
33,"What was the name of the Muggle school Harry was to attend?
",Stonewall High,Stonewall High,Yale,Stonebridge High,St. Brutus
34,"Where did Harry buy his wand?
",Ollivanders,Flourish  Blotts,Ollivanders,J.C. Penneys,Madame Malkins
35,"Who breaks Harry Potters nose in Harry Potter and the Half-Blood Prince, the sixth novel in the series?
",Draco Malfoy,Proffesor Snape,Lucious Malfoy,Draco Malfoy,Lord Voldemort
36,"Does Draco Malfoy attempt to kill Dumbledore in the book Harry Potter and the Half-Blood Prince?
",Yes,Yes,No,,
37,"Initially Harry Potter and Ron did not like Hermione and considered her annoying, interfering and snobby.
",True,False,True,,
38,"Who does Harry Potter kiss in the book Harry Potter and the Half-Blood Prince, after Gryffindor wins the Quidditch Cup?
",Ginny Weasley,Nobody,Ginny Weasley,Cho Chang,Hermione Granger
39,"This fictional character suggests the name Dumbledores Army for the organization started by Harry, Hermione, and Ron in the book Harry Potter and the Order of the Phoenix.
",Ginny Weasly,Luna Lovegood,Marietta Edgecombe,Cho Chang,Ginny Weasly
40,"In which book of the Harry Potter series, Harry, Ron and Hermione start attending the Divination class, taught by Professor Trelawney?
",Harry Potter and the Prisoner of Azkaban,Harry potter and the Order of the Phoniex,Harry Potter and the Half-Blood Prince,Harry Potter and the Chamber of Secrets,Harry Potter and the Prisoner of Azkaban
41,"In what year did J.K. Rowling receive an OBE (Order of the British Empire) from the Queen of England?
",2000,1999,None of these,2000,2001
42,"Which of the following items cannot be found in a colonial classroom?
",Crayon,Quill pen,Fireplace,Crayon,Horn book
43,"Colonial people spend some of their free time doing which of these?
",Reading McGuffey,Skateboarding,Using a dishwasher,Reading McGuffey,Ordering pizza
44,"From age 12 to 21, American activist and politician Benjamin Franklin did what?
",Worked as an apprentice,Went to school,Worked on his autobiography,"Worked on many inventions, including electricity",Worked as an apprentice
45,"In 1889, this person founded the Hull House, one of the first settlement houses in the U.S.
",Jane Addams,Jane Addams,Harriet Tubman,Betty Ross,Florence Nightingale
46,"Which of the following is a famous quote by John Paul Jones, the well-known American naval hero from the American Revolutionary War?
",I have not yet begun to fight.,I have a dream.,Give me liberty or give me death.,I have not yet begun to fight.,I shall return.
47,"Which of the following events is associated with Independence Day?
",Declaration of Independence,Emancipation Proclamation,Louisiana Purchase,Declaration of Independence,Boston Tea Party
48,"What year did Columbus first arrive on American land?
",1498,1588,1498,1600,1763
49,"You can see this animal around ant-hill. It is almost 6 feet long and it likes to eat ants.
",Anteater,Dolphin,Seal,Anteater,Kangaroo
50,"It is a big animal with brown fur and it likes eating fish and honey. It has 42 teeth.
",Bear,Fox,Bear,Cheetah,Horse
51,"This is a repulsive insect either black or brown. It can live a couple of weeks with its head cut off.
",Cockroach,Ant,Fly,Cockroach,Grasshopper
52,"This is a big and grey animal with wide ears and a trunk. It cannot hop.
",Elephant,Elephant,Rabbit,Bear,Horse
53,"This is a fluffy dog. It has a black-black or purple tongue.
",Chow Chow,Chow Chow,Pitbull,Hound,Setter
54,"This animal lives in Africa. It has a really long neck and eats leaves. It produces almost no sounds.
",Giraffe,Giraffe,Elephant,Zebra,Camel
55,"This animal is similar to a mouse but it is bigger. It can give birth to more than 160 babies in a year.
",Rat,Cat,Anteater,Rat,Weasel
56,"These animals are long and slim. They creep. Most of them can go an entire year without eating at all!
",Snakes,Snakes,Frogs,Fish,Eel
57,"These animals live in the sea. They are very friendly to humans. Although they resemble fish, they will drown if kept underwater for too long.
",Dolphins,Mackerel,Dolphins,Salmon,Tuna fish
58,"When this animal wants to defend itself, it throws a nasty smell toward its aggressor. This smell can be detected by a human a mile away.
",Skunk,Skunk,Turbot,Horse,Deer
59,"Which subject was Hermione not taking at 9am?
",Potions,Divination,Arithmancy,Muggle Studies,Potions
60,"How many people where at the dinner table before Professor Trelawney joined them?
",12,None of these is correct,9,13,12
61,"Who wrote A History of Magic?
",Bathilda Bagshot,Batgut Buckshot,Bathilda Baghide,Hilda Bagshot,Bathilda Bagshot
62,"Peter Pettigrew has his nose put in a box.
",False,False,True,,
63,"Who shot gum up Peeves left nostril?
",Professor Lupin,Professor Lupin,The Bloody Baron,Harry,Professor Lockhart
64,"Which pairing is not correct?
",James - Antlers,James - Antlers,Pettigrew - Wormtail,Lupin - Moony,Sirius - Padfoot
65,"What is the Minister of Magics name in book six?
",Scrimgeour,Scrimgeour,Weasly,Umbridge,Fudge
66,"Who is Tonks in love with?
",Lupin,no one,Bill,Lupin,Ron
67,"Who has the hots for Harry in the first half of the book?
",Romilda,Ginny,Luna,Romilda,Cho
68,"Which potion did Harry make to win a bottle of Liquid Luckin Chapter 9?
",Draught of Living Death,Veritaserum,Draught of Living Death,Draught of Death,Felix Felicis
