,Questions,Correct,A,B,C,D
0,"In what fictional city is the TV show Futurama set?
",New New York,New Chicago,New New York,New San Francisco,None of these
1,"What is the lowest ranking species in the Covenant hierarchy in the Halo series?
",Grunt,Drone,Brute,Elite,Grunt
2,"Who controls the Flood in the Halo series?
",Gravemind,Gravemind,The Prophet of Truth,The Arbiter,No one
3,"What is a SPARTAN in the Halo series?
",All of these,A Genetically modified super soldier,A higher ranking soldier than a ODST,Troopers that went through military training at the age of five,All of these
4,"What species is the Didact in the Halo series?
",Forerunner,Forerunner,Precursor,Promethean,Yamne
5,"In the Halo series, Zealots use Energy Swords.
",True,True,False,,
6,"Which of the following does the UNSC use to transport troops in the halo series?
",Pelicans,Falcons,Hornets,Phantoms,Pelicans
7,"What does UNSC stand for in the Halo series?
",United Nations Space Command,None of the above,United Nations Space Council,United Nations Space Command,Unified Nations Supreme Court
8,"What is the largest UNSC ship in the Halo series?
",UNSC Infinity,UNSC In Amber Clad,UNSC Infinity,UNSC Spirit of Fire,UNSC Pillar of Autumn
9,"What city does Halo 3 ODST take place in?
",New Mombasa,Voi,New Mombasa,Toronto,New York
10,"What is the largest species of the Covenant in the Halo series?
",Hunter,Brute,Hunter,Jackal,Elite
11,"Who made the fictional Mother Brain and for what purpose?
",The Chozo built her to be a organic Supercomputer.,The Galactic Federation built her as a next generation Aurora Unit.,It is unknown who made her but she was made to control Zebes.,The Space Pirates built her to be one of their generals.,The Chozo built her to be a organic Supercomputer.
12,"How did the Alimbics become extinct in the Metroid series?
",The entire species used up their life energy to imprison Gorea.,They discovered Phazon and developed Phazon Madness causing them to wipe each other out.,Gorea wiped them out.,The entire species used up their life energy to imprison Gorea.,The Metroids wiped them out.
13,"What creature passes on the X Parasite to Samus in the Metroid series?
",Hornoad,Metroid,Space Pirate,Kihunter,Hornoad
14,"Who is the Deleter in the Metroid series?
",James Pierce,Lyle Smithsonian,Adam Malkovich,K.G Misawa,James Pierce
15,"Kraid is the only one of his species encountered in the Metroid game.
",False,True,False,,
16,"What do Steamlords keep as pets in the Metroid series of games?
",Vaporwing,Steambot,Warp Hound,Steamspider,Vaporwing
