,Questions,Correct,A,B,C,D
0,"What is the capital of Afghanistan?
",Kabul,Tirana,Kabul,Dushanbe,Tashkent
1,"What is the capital of Australia?
",Canberra,Canberra,Sydney,Melbourne,Ottawa
2,"What is the capital of Belgium?
",Brussels,Amsterdam,Luxemburg,Brussels,Stockholm
3,"What is the capital of Greece?
",Athens,Ankara,Athens,Sofia,Thessaloniki
4,"What is the capital of Italy?
",Rome,Venice,Rome,Naples,Milan
5,"What is the capital of Israel?
",Jerusalem,Tel Aviv,Kabul,Jerusalem,Islamabad
6,"What is the capital of Germany?
",Berlin,Frankfurt,Berlin,Munich,Hamburg
7,"What is the capital of Norway?
",Oslo,Stockholm,Helsinki,Oslo,Copenhagen
8,"What is the capital and largest city of Hawaii, the 50th US state?
",Honolulu,Little Rock,Dover,Frankfort,Honolulu
9,"When the streams Biya and Katun join in Altai Krai, they form this mighty river. It is located in West Siberia, Russia and has many names- the Siberian Tatars call it Omar or Umar, the Samoyedes- Kolta or Kuay and to the Ostiaks it is known as the As, Yag, Kolta and Yema. It joins the Irtysh river, forming the longest river flow in Russia. What is its name?
",Ob,Ural,Volga,Ob,Lena
10,"Although the Amazon river is generally regarded as the second-longest in the world, it is the river with greatest total flow, carrying more than the Mississippi, Nile, and Yangtze rivers combined.  It ends in the Atlantic Ocean, but it is believed to begin its long journey from this mountain peak.
",Nevado Mismi,Nevado Mismi,Misti,Cotopaxi,Mount Chimborazo
11,"This is the longest river in Asia and its Chinese name, Chang Jiang, is literally translated to Long River. The critically endangered Chinese River Dolphin and Chinese paddlefish live only in this river. It takes its source in the Qinghai Province, flows for 6,380km (3964miles) and finally empties into the East China Sea. What is the name of this river?
",Yangtze,Irtysh,Huai River,Yangtze,Mekong
12,"Huang He is the second-longest river in China. Its source is in the Kunlun Mountains at 4,500m (14,764 feet) above sea level. Due to the silts that the river carries, the color of its waters becomes so unnatural that it gave the name of the river . What is the color of the waters of Huang He?
",Yellow,Brown,Orange,Yellow,Red
13,"It is the second-longest river in the United States. The longest one, Missouri, joins it to form the longest river flow in North America. This river flows through ten states- Minnesota, Wisconsin, Iowa, Illinois, Missouri, Kentucky, Arkansas, Tennessee, Mississippi and Louisiana and mouths into the Gulf of Mexico. I am not going to ask you about its name, but about its source. What is the origin of the Mississippi river?
",Lake Itasca,Lake Superior,Lake Pepin,Lake Itasca,Cass Lake
14,"This is the twelfth-longest river in the world. It runs through China, Myanmar, Thailand, Laos, Cambodia and Vietnam. There are various theories about the source and the exact length of the river because there are several effluents of it that are too difficult to explore. Due to the many rapids and waterfalls, as well as the extreme changes in the flow of the river, sailing is extremely difficult. What is the name of this river?
",Mekong,Mekong,Saskatchewan,Angara,Brahmaputra
15,"The longest river in Europe is Volga. But do you know which is the second longest one? It flows through several major European cities, such as Ulm, Vienna, Bratislava, Budapest and Belgrade. The river empties in the Black Sea on the terrirories of Romania and Ukraine.
",Danube,Don,Dniepr,Danube,Emba
16,"The Ganges river is considered to be a holy in India. There is a Hindu legend that the river was created from the sweat of the feet of Vishnu, collected by Brahma. According to Hindu beliefs, if you bathe in the waters of Ganges, it will wash away your sins. However this is not very hygienic, as the river is badly polluted by cremated corpses, carcasses, waste from factories and more.  Where does this river empty?
",The Bay of Bengal,The Bay of Bengal,Lop Nur,The Quarry Bay,Kara Sea
17,"Victoria Falls is one of the most spectacular waterfalls in the world. The falls are named after Queen Victoria by David Livingstone, the explorer who visited them in 1855. The falls are 128 m (420 ft) high and are situated on this river.
",Zambezi,Zambezi,Congo,Gambia,Orange
18,"The Nile is generally considered the longest river in the world.  The source of this mighty river remained unknown for centuries. Finally Lake Victoria was decided to be its source, although there are other theories. Lake Victoria is located on the territories of these three countries.
","Uganda, Kenya and Tanzania","Sudan, Ethiopia and Kenya","Zambia, Angola and Sudan","Uganda, Kenya and Tanzania","Egypt, Morocco and Zimbabwe"
19,"Name the line, which is the same distance from the North Pole and South Pole and runs horizontally around the world.
",Equator,Tropic of Capricorn,Equator,Tropic of Cancer,Prime Meridian
20,"What term refers to the horizontal line, 23.5 degrees S, which passes through South America, Africa, and Australia?
",Tropic of Capricorn,Tropic of Cancer,Prime Meridian,Tropic of Capricorn,Equator
21,"Which continents are entirely in the Southern Hemisphere?
",Australia and Antarctica,"South America, Africa, and Australia",Australia and Antarctica,"South America, Australia and Antarctica",South America and Australia
22,"Which continents (landmasses, not peripheral islands) are entirely in the Northern Hemisphere?
","North America, Europe, and Asia",North America and Europe,"Europe, Africa and Asia","North America, Africa, and Asia","North America, Europe, and Asia"
