,Questions,Correct,A,B,C,D
0,"What music video portrays Kylie Minogue lying amongst many men and women by a poolside?
",Slow,On a Night Like This,Red Blooded Woman,Chocolate,Slow
1,"Which statesman uttered these words: â€œThus, by every device from the stick to the carrot, the emaciated Austrian donkey is made to pull the Nazi barrow up an ever-steepening hillâ€?
",Winston Churchill,Winston Churchill,Joseph Stalin,Franklin D. Roosevelt,Charles DeGaulle
2,"There is no glory in outstripping donkeysâ€ was a statement by this Greek Emperor.
",Marcus Aurelius,Romulus Augustus,Marcus Aurelius,Tiberius,Hadrian
3,"Which modern day comedian annoyed his wife with this saying: â€œI kept giving her donkey ears.â€?
",Chevy Chase,Chevy Chase,Adam Sandler,Dan Aykroyd,Ben Stiller
4,"This Welsh-born English poet said: If a donkey bray at you, dont bray at himâ€.
",George Herbert,George Herbert,Waldo Williams,Bertrand Russell,Dylan Thomas
5,"â€œI lived in the US for donkeys years so it has been a journey back in time for me. If you have had personal experience of something, it is always more authentic.â€ is a quote by this Australian author.
",Colleen McCullough,Isobelle Carmody,Kate Morton,Melina Marchetta,Colleen McCullough
6,"â€œIn school nativity plays I was always the bloody little donkey, I was never Mary.â€ says this singer-songwriter who is also famous as a member of an all female group. Who is she?
",Geri Halliwell,Keren Woodward,Rozonda Chilli Thomas,Geri Halliwell,Kelly Rowland
7,"â€œThat which is called firmness in a king is called obstinacy in a donkeyâ€ is a quote by an American author and educator.
",John Erskine,John Erskine,Jerome Allen,Herbert Kohl,John Corcoran
8,"â€œDo you think yourself wise? Then theres a donkey inside your waistcoatâ€ is a quote from one of the British preacher/theologians of the 19th century.
",Charles H. Spurgeon,Charles H. Spurgeon,Hugh Price Hughes,Borden Parker Bowne,William Burt Pope
9,"â€œI do believe the Democratic party has moved far to the right. I do believe that the party has a bunch of elephants running around in donkey clothes.â€ is a quote by this outstanding American reverend.
",Al Sharpton,Al Sharpton,Louis Farrakhan,Jesse Jackson,Jeremiah Wright
10,"â€œYeah, blindfolds, just like pin the tail on us. Were the donkey.â€ is a quote from an American lead vocalist and musician of a heavy metal band. Who is he?
",Vince Neil,Vince Neil,Robert Plant,Axl Rose,Rob Halford
11,"â€œLet him not recite the Veda on horseback, nor on a tree, nor on an elephant, nor in a boat ,or ship , nor on a donkey, nor on camel, nor standing on barren ground, nor riding in a carriage.â€ was spoken by one of the 11 gurus of India. Which one?
",Guru Nanak,Guru Granth Sahib,Guru Nanak,Guru Angad,Guru Har Gobind
12,"After the death of her lover, Cleopatra found true love.  Though Egypt and Rome did not get along,  these two people married in 36 B.C, planning to conquer Rome.
",Antony and Cleopatra,Antony and Cleopatra,Ptolemy and Cleopatra,Julius Caesar and Cleopatra,Octavian and Cleopatra
13,"When the ruler of the Mughal Empire married his favorite wife, they were still teenagers. She gave birth to 14 children. After her death  in 1629, the grieving emperor created one of worlds most beautiful edifices - Taj Mahal, paying tribute to his beloved wife.
",Shah Jahan and Mumtaz Mahal,Alfred Lunt and Lynn Fontanne,Shah Jahan and Raza Devi,Abelard and Heloise,Shah Jahan and Mumtaz Mahal
14,"In 1898, three years after their marriage,  this scientific couple  discovered polonium and radium. Thus,  they won the Physics Nobel Prize in 1903 for discovering radioactivity.
",Marie and Pierre Curie,Anthony and Cleopatra,Abigail and John Adams,John Alden and Priscilla Mullins,Marie and Pierre Curie
15,"The beautiful Egyptian queen was chief wife of an Egyptian Pharaoh in 14th century BC. The couple remained in history as great reformers due to the profound religious changes they made - they introduced the monotheistic worship of the sun disk.
",Amenhotep IV and Nefertiti,Tutankamun and Cleopatra,Nefertiti and Ay,Amenhotep IV and Nefertiti,Tutankamun and Nefertiti
16,"Philosophy brought together this ancient Greek couple.  The wife had a courtesan salon which was frequented by many of the philosophers we now know, but only one of them got to really know her. Noted for her great intellectual power, she gave him inspiration for his work in rhetorics.
",Aspasia and Pericles,Aspasia and Plutarch,Aspasia and Plato,Aspasia and Pericles,Aspasia and Xenophon
17,"She was a successful Hollywood actress and he was the president of the USA.  They never managed to be together legally, but their relationship was a public secret.
",Marilyn Monroe and John Kennedy,Marilyn Monroe and Joe DiMagio,Marilyn Monroe and John Kennedy,Ava Gardner and Bobby Kennedy,Ava Gardner and Frank Sinatra
18,"Being romantic poets, these two had a really romantic relationship. They knew how to do it, including all the elements a romantic story needs: secret courtship, love poems and everything necessary for their love to thrive.
",Robert and Elizabeth Browning,Charles and Katherine Dickens,Robert and Elizabeth Browning,Marie and Pierre Curie,Sappho and Homer
19,"He was a famous French conqueror,  but this wasnt enough for her to accept the marriage proposal immediately. She hesitated at first, but finally agreed.
",Napoleon and Josephine,Napoleon and Josephine Baker,Napoleon and Josephine,Alexander the Great and Cleopatra,Amenhotep and Nefertiti
20,"The most famous gangster couple in history, her last name was Parker and he was the anti-authoritarian criminal Barrow.
",Bonnie and Clyde,Bonnie and Clyde,Cuocolo and Cutinelli,Barre and Lebiez,Lou Jean Poplin and Clovis
21,"On April 9, 2005 their marriage ended years of speculation on a relationship which has spanned the decades since they first met in 1970.
",Charles and Camilla,Charles and Camilla,Kate Beckingsale and Len Wisemen,Catherine Zeta-Jones and Michael Douglas,Jason Priestley and Naomi Lowde
22,"Babe Ruths nickname
",The Sultan of Swat,The Crusher from Conrad,The Yankee menace,The Sultan of Swat,The Prince of Power
23,"Red Grange
",The Galloping Ghost,The Galloping Ghost,The Illini Rocket,Greased Lightning,The Wheatfield Warrior
24,"Jerry West
",Mr. Clutch,Mr. Gearhead,Mr. Amazing,Mr. Fantastic,Mr. Clutch
25,"Edson Arantes Do Nascimento
",Pele,Maradonna,Carmingo,Barloli Dominguez,Pele
26,"Jack Nicklaus
",The Golden Bear,The Golden Eagle,The Golden Buckeye,The Golden Swing,The Golden Bear
27,"Rod Laver
",Rocket,Booster,Rocket,Ram,The Australian Lion
28,"Joe Namath
",Broadway Joe,White Shoes,5th Avenue Joe,Broadway Joe,Smooth as Silk
29,"Willie Mays
",The Say-Hey Kid,The Kansas Kid,Fearless,The Say-Hey Kid,The Frisco Phenom
30,"Bobby Hull
",The Golden Jet,The Golden Blackhawk,The Golden Flash,The Golden Goose,The Golden Jet
31,"Paavo Nurmi
",The Flying Finn,The Finnish Flash,The Turko Wonder,The Flying Finn,The Turko Turbo
32,"Gary Leon Rigway is known as the Green River Killer, responsible for at least 48 murders.  What kind of people did he target?
",Prostitutes and runaways,Nurses,Prostitutes and runaways,Schoolboys,Schoolgirls
33,"This serial killer, known as The Ripper of Rostov, roamed Russia in the late 1900s.  He was later found guilty of 52 murders and sentenced to death.
",Andrei Chikatilo,Anatoly Onoprieno,Vadim Yershov,Nikolai Dzhurmongaliev,Andrei Chikatilo
34,"The Monster of the Andes, as Pedro Lopez is known, terrorized Ecuador, Peru and Colombia. How many people did he victimize?
",More than 300,More than 300,More than 100,More than 50,More than 200
35,"Certainly one of the most dreadful serial killers in US history. Even though he performed as a clown at neghborhood childrens parties, he killed 33 teenagers.
",John Wayne Gacy,Joe Ball,John Wayne Gacy,Marie Besnard,Albert Fish
36,"Bruno Ludke was born in 1909. When he was young, he tortured animals for fun. He strangled or stabbed to death 85 women.  Where was he from?
",Germany,Russia,Great Britain,America,Germany
37,"This serial killer terrorized Washington, Oregon, Colorado, Utah, and Florida. His death sentence was executed in Florida on 24 January 1989.
",Ted Bundy,Richard Ramirez,Richard Iceman Kuklinski,Juan Corona,Ted Bundy
38,"This mans rampage lasted from 1979 to 1981. He roamed Atlanta and Georgia, taking the lives of 27 innocent boys. At first the police thought he was a white supremacist, because he targeted black boys, but it turned out he was black himself.  He was caught on 22 May 1981.
",Wayne Williams,Kendall Francois,Wayne Williams,Guy Georges,Robert Berdella
39,"This serial killer was known as The Candy Man. His partner,  Wayne Henley, eventually shot him.
",Dean Corll,Richard Angelo,Dean Corll,Clifford Robert Olson,Abdallah al-Hubal
40,"Henry Lee Lucas confessed to more than 500 murders. How many murders was he actually convicted of?
",11,600,201,255,11
41,"There are many theories about the identity of this mysterious British serial killer. He marks the dawn of the modern age of serial murders. Although the number of his victims is not high, compared to others on our list (5), he is probably the worlds most famous serial murderer.
",Jack The Ripper,Earl Frederick,Jack The Ripper,The Toledo Clubber,Joel Rifkin
42,"He disliked Jews and accused them of causing all disasters in German history.
",Hitler,Mussolini,Lenin,Stalin,Hitler
43,"He delivered the famous I have a dream speech.
",Martin Luther King Jr.,Mao Zedong,Martin Luther King Jr.,Ho Chi Minh,Pope John Paul II
44,"She was the only woman to become Prime Minister of Great Britain.
",Margaret Thatcher,Diane Julie Abbott,Queen Victoria,Margaret Thatcher,Elizabeth Furse
45,"He was the only Pope of non-Italian origin since the Dutch-German Pope Adrian VI.
",Pope John Paul II,John Paul I,Benedict XVI,Blessed John XXIII,Pope John Paul II
46,"He was the only actor to become US President.
",Ronald Reagan,Teddy Roosevelt,Franklin Delano Roosevelt,Ronald Reagan,Bill Clinton
47,"He was the first democratically-elected President of South Africa.
",Nelson Mandela,Nelson Mandela,Martin Luther King,Mao Zedong,Lech Walesa
48,"He brought the cause of Indias independence to world attention.
",Mohandas Gandhi,Ho Chi Minh,Lech Walesa,Nelson Mandela,Mohandas Gandhi
49,"Which British Prime Minister is considered to have saved his country during WW2?
",Winston Churchill,Edward Heath,Neville Chamberlain,Edward Churchill,Winston Churchill
50,"He established the first fascist party.
",Benito Mussolini,Hitler,Winston Churchill,Benito Mussolini,Stalin
51,"The name he is known as means Awakened One, Enlightened One.
",Buddha,Jesus Christ,Dalai Lama,Buddha,Mohamed
52,"Before becoming an important political figure, this George was a businessman, involved with the oil industry and then with professional sports.
",George W Bush,George Washington,George W Bush,George Orwell,George Eliot
53,"This George is one of the greatest English novelists. The term Big Brother comes from his book 1984.
",George Orwell,George Eliot,George Sand,George Bernard Shaw,George Orwell
54,"This George was the first president of the USA. Although the American capital city was named after him, he never lived there.
",George Washington,George Orwell,George Washington,George Lucas,George Bush
55,"This George was actually a woman and her real name was Mary Ann Evans. She used a male pen name because she wanted the publishers to take her works seriously.
",George Eliot,George Sand,George Bernard Shaw,George Orwell,George Eliot
56,"This George received the Nobel Prize in literature in 1925 but he didnt take the prize money. Instead, he gave the money for funding the translation of Swedish literature into English.
",George Bernard Shaw,George Bernard Shaw,George Sand,George Fox,George Orwell
57,"In 1997 this George was voted Sexiest Man Alive by People magazine. His first TV role was in the TV series E/R.
",George Clooney,George Fox,George Clooney,George Lucas,George Herbert
58,"This George lived for only 40 years - from 1593 until 1633. Nevertheless, he became a great poet. However, none of his works was published while he was alive.
",George Herbert,George Gordon Byron,George Herbert,George Fox,George Eliot
59,"His most famous works were Childe Harolds Pilgrimage and Don Juan. His fame rests not only on his romantic poems; he was known for his lifestyle, which included extravagant living, debts, separation, claims of incest, etc.
",George Gordon Byron,George Eliot,George Gordon Byron,George Lucas,George Sand
60,"This George was also a woman. Her real name was Amandine-Aurore-Lucile Dupin. She was a feminist before the invention of the word. She had a romantic relationship with Chopin.
",George Sand,George Herbert,George Sand,George Eliot,George Fox
61,"This George is the director of one of the most famous movie sagas. However the script for this saga was initially turned down by every major Hollywood studio because no one would want to see it.
",George Lucas,George Orwell,George Clooney,George Michael,George Lucas
62,"This John was a writer. He received the Nobel price for literature in 1962 for his “realistic and imaginative writing, combining as it does sympathetic humour and keen social perception.”
",John Steinbeck,John Tolkien,John Steinbeck,John Wayne,John Milton
63,"This famous English poet is the author of Paradise Lost. The long hours of writing under the light of a candle cost him his eyesight. He then started using a scribe.
",John Milton,John Tolkien,John Milton,John Denver,John Steinbeck
64,"This John was a member of one of the most popular bands from the 60s.  Earlier, he has formed his own band called The Quarrymen.
",John Lennon,John Lennon,John Major,John Secada,John Bon Jovi
65,"This John majored in philology, which triggered his interest in linguistics. This enabled him to invent 15 artificial languages. Two of them are most popular: Quenya and Sindarin, the two Elvish languages in The Lord of the Rings.
",John Tolkien,John Steinbeck,John Donne,John Tolkien,John Milton
66,"This John is the one who said Ask not what your country can do for you, ask what you can do for your country.
",John Kennedy,John Doe,John Smith,John Major,John Kennedy
67,"This John was one of the greatest English poets in the 17th century. He belonged to the group of the so-called metaphysical poets. It was his meditations that gave Hemingway the idea about the title of For Whom the Bell Tolls.
",John Donne,John Secada,John Tolkien,John Donne,John Milton
68,"Besides being an actor, this Pulp Fiction John is a certified pilot and owns a couple of planes.
",John Travolta,John Goodman,John Travolta,John Wayne,John Smith
