,Questions,Correct,A,B,C,D
0,"Urban Meyer left the head coach position at the Utah Utes to become head coach of this team.
",University of Florida,Florida St.,Bowling Green,University of Florida,University of Miami
1,"Jack Bauer, Nina Myers and George Mason are three of the characters of this TV series.
",24,24,3 South,60 Minutes,20/20
2,"Harry Solomon, Dick Solomon and Dr. Mary Albright.
",3rd Rock from the Sun,Battlestar Galactica,3rd Rock from the Sun,The A-Team,7th Heaven
3,"The annoying neighbours, the Ochmoneks are from this TV show.
",ALF,Dawsons Creek,ALF,Beverly Hills 90210,All My Children
4,"One of these characters is not from Baywatch.
",Kelly Taylor,Hobie Buchannon,Jill Riley,Kelly Taylor,Craig Pomeroy
5,"Gilbert (Gil) Arthur Grissom is the night shift team supervisor from this TV show.
",CSI: Crime Scene Investigation,The City,CSI: Crime Scene Investigation,CSI: New York,CSI: Miami
6,"One of these ER characters is not a doctor.
",Samantha Taggart,Gregory Pratt,Ray Barnett,Dave Malucci,Samantha Taggart
7,"This was one of the best known bosses of Fred Flintstone.
",Mr. Slate,Mr. Jones,Mr. Slate,Mr. Garret,Mr. Smith
8,"Julie Cooper and Summer Roberts are two characters from this TV series.
",The O.C.,Dawsons Creek,The O.C.,Beverly Hills 90210,One Tree Hill
9,"Charlotte York, Miranda Hobbes and Samantha Jones are female characters from this TV show.
",Sex and the City,Desperate Housewives,Sex and the City,Gilmore Girls,Smallville
10,"Kelly and Bud are the kids of a family depicted in this TV series.
",Married... with Children,Married... with Children,Happy Family,The Partridge Family,All in the Family
11,"What is the name of the episode of SpongeBob SquarePants in which Sponge and friends all had superpowers?
",Mermaid Man and Barnicle Boy 3,Mermaid Man and Barnicle Boy 3,Fry Cook Games,Mermaid Man and Barnicle Boy 2,Bubblestand
12,"Where does SpongeBob SquarePants live in the self-titled series?
",In a pineapple,In a coconut,In an apple,In a pineapple,In a watermelon
13,"Sandy Cheeks, the popular character from the animated series SpongeBob SquarePants, is from what state?
",Texas,Alaska,Florida,Texas,Georgia
14,"What is the secret ingredient of The Fake Krabby Patty, a sandwich mentioned in the series SpongeBob SquarePants?
",Four heaping pounds of plankton,Jellyfish jelly,Extra salt,A cup of love,Four heaping pounds of plankton
15,"What was the name of the toy shell SpongeBob and Patrick had with them in the Kelp Woods?
",Magic conch shell,Magic Clam shell,Hermit Crab Shell Toy,Spiral,Magic conch shell
16,"Where does the cartoon character SpongeBob work?
",Krusty Krab,Krusty Krab,Chum Bucket,Tuff Tavern,Beach Bums
17,"Which character from the animated series SpongeBob SquarePants spoke the words from the sound clip?
",Squidward Tentacles,Patrick Star,Squidward Tentacles,Mr.Crabs,Gary
18,"Which SpongeBob SquarePants character spoke the following words?
",SpongeBob SquarePants,Plankton,SpongeBob SquarePants,Gary,Squidward Tentacles
19,"Rachel from Friends moves to live with the rest of the friends after escaping her marriage to this man.
",Barry,Mark,Mike,Frank,Barry
20,"Alf from the sitcom series has very few friends outside the Tanners. One of them is the boy that lives with Trevor and Raquel Ochmonek. This is their relation to him.
",He is their nephew.,He is their adopted son.,He is their nephew.,He is their son.,He is their grandchild.
21,"Doctor Peter Benton was a fictional medical doctor on the television series ER from season one through season eight. What is characteristic of his son?
",He is deaf.,He is mentally-challenged.,He is blind.,He is deaf.,He is a girl.
22,"Jefferson DArcy is Marcys second husband in Married... with Children. She married him for money.
",False,True,False,,
23,"The last episode of Everybody Loves Raymonds ninth season depicts a medical accident that affects this character.
",Raymond,Raymond,Frank,Marie,Debra
24,"Rose (Kate Winslet) from Titanic (1997) is this old when the ship sinks.
",17,20,14,23,17
25,"Before Neo joins Morpheus and his group (The Matrix) he works as this.
",Software programmer,Scientist,Internet broker,Software programmer,He is unemployed
26,"Darth Sidious is portrayed in all of these Star Wars movies except this one.
",Star Wars Episode IV: A New Hope,Star Wars Episode I: The Phantom Menace,Star Wars Episode III: Revenge of the Sith,Star Wars Episode II: Attack of the Clones,Star Wars Episode IV: A New Hope
27,"This fictional TV character was Mikes wife, and a mother to Greg, Marcia, Peter, Jan, Bobby and Cindy.
",Carol Brady,Marian Cunningham,Shirley Partridge,Mary Hartman,Carol Brady
28,"This TV mom, who had a daughter named Gloria, was married to the working class bigot Archie.
",Edith Bunker,Carol Brady,Louise Jefferson,Marcia Brady,Edith Bunker
29,"This TV character and her husband Barney had an extremely strong son named Bamm Bamm.
",Betty Rubble,Carly Simon,Wilma Flintstone,Betty Rubble,Morticia Addams
30,"This TV moms son, Little Ricky, learned to sing Babalou like his dad, Ricky.
",Lucy Ricardo,Ethel Mertz,Mortica Addams,Lucy Ricardo,Marian Cunningham
31,"This TV mom was married to Herman, who caused more trouble than her son Eddie.
",Lily Munster,Olivia Newton John,Carol Partridge,Mortica Addams,Lily Munster
32,"Which widowed TV mother travelled around in a colorful bus with her children Keith, Laurie, Danny, Christopher and Tracy?
",Shirley Partridge,Marian Cunningham,Shirley Partridge,Carol Brady,Mortica Addams
33,"This TV personality and her husband Ward were the loving parents of Wally and the Beaver.
",June Cleaver,Lily Munster,Edith Bunker,Marian Cunningham,June Cleaver
34,"This TV mom and her husband Charles were busy raising Mary, Laura and Carrie in Walnut Grove, Minnesota.
",Caroline Ingalls,Mortica Addams,Marian Cunningham,June Cleaver,Caroline Ingalls
35,"Which TV mom moved to Manhattans Upper East Side with her son Lionel and her husband George?
",Louise Jefferson,Edith Bunker,Carol Brady,Anne Jones,Louise Jefferson
36,"Pugsley and Wednesday were the kids of this TV mom and her husband, Gomez.
",Morticia Addams,June Cleaver,Edith Bunker,Betty Rubble,Morticia Addams
37,"This red-haired TV character was the wife of Fred and the mother of Pebbles.
",Wilma Flintstone,Carrie Fisher,Betty Rubble,Wilma Flintstone,June Cleaver
38,"This TV mother divorced her husband and moved back to her hometown of Indianapolis with her two daughters, Julie and Barbara.
",Ann Romano Royer,Carol Partridge,Ann Romano Royer,June Cleaver,Carrie Fisher
39,"This TV mom and her husband Howard were the parents of Chuck, Richie and Joanie.
",Marion Cunningham,Carol Brady,Marion Cunningham,Edith Bunker,Shirley Partridge
40,"In The Pilot who is dressed as a bride and becomes a room mate to Monica?
",Rachel,Phoebe,Janice,Chandler,Rachel
41,"What was the nickname that never caught on for Ross?
",Rossatron,The divorcer,Fossil dude,Rossatron,Rossasaurous
42,"In the episode where everyone is up all night in season 7, why cant Phoebe go to sleep?
",The smoke detector keeps beeping,The smoke detector keeps beeping,She is drunk in Vegas,She is going into labor,She has to much coffee
43,"Who broke Chandlers barcalounger?
",Joey,Joey,Rachel,Chandler himself,Monica
44,"What is Rachels full name?
",Rachel Karen Green,Rachel Isabella Green,Rachel Karen Green,Rachel Emma Green,Rachel Lisa Green
45,"What friend never had a bike as a child?
",Phoebe,Phoebe,Monica,Chandler,Joey
46,"In the opening credits/theme song, what is the color of Joeys umbrella?
",Blue,Green,Black,Blue,Red
47,"What was Rosss son, Bens first word?
",Hi,Dog,Hi,How you doin?,Ma-ma
48,"How many chairs are around Monicas kitchen table?
",Four,Five,Three,Four,Six
49,"What number wife is Rachel to Ross?
",Third,First,Second,Third,They never got married
50,"What friend has a fear of dogs?
",Chandler,Joey,Phoebe,Rachel,Chandler
51,"How many Emmy Awards has the show Friends won for Outstanding Comedy Series?
",None,2,10,1,None
52,"Who does Rachel have a baby with?
",Ross,Tag,Joey,Chandler,Ross
53,"What actress plays Monica Geller?
",Courteney Cox Arquette,Kelly Rippa,Jennifer Aniston,Lisa Kudrow,Courteney Cox Arquette
54,"What is Joeys favorite food?
",Sandwiches,Seafood,Lasagna,Pizza,Sandwiches
55,"In what area of New York City do the Friends live?
",Greenwich Village,Soho,Tribeca,Greenwich Village,Chelsea
56,"How many seasons was Friends on the air for?
",10,10,9,7,8
57,"What friends cast member directed some of the episodes?
",David Schwimmer,Matthew Perry,Lisa Kudrow,David Schwimmer,Matt Le Blanc
58,"In Chandlers 50 states game, who forgot 14 of the 50 states?
",Monica,Monica,Phoebe,Rachel,Ross
59,"How many children did Monica and Chandler adopt?
",Twins,None,Triplets,Twins,One
60,"This 80s television show featured a family living in a brownstone in Brooklyn. The father was an obstetrician and the mother was a lawyer.
",The Cosby Show,The Cosby Show,Family Ties,Growing Pains,Too Close For Comfort
61,"This show, set in New York City at the High School For Performing Arts, was about students who wanted to become actors, musicians and dancers.
",Fame,You Can Do It If You Try,Fame,Talented Kids,Whiz Kids
62,"In this 80s television show, set in Columbus, Ohio, the parents (Steve and Elyse) had 4 children. Steve worked at a television station as a manager and Elyse was an architect.
",Family Ties,Family Ties,Family Matters,Family,Family Affair
63,"This 80s television series focused on a family that lived in the New York suburbs. The father was a psychiatrist and the mothers name was Maggie. They had 4 children with the oldest being Mike.
",Growing Pains,Family Ties,Gimme A Break,Diffrent Strokes,Growing Pains
64,"This 80s show, which was a box office smash for Goldie Hawn, tells the story of a New York socialite who decides to tackle the U. S. Army.
",Private Benjamin,Private Benjamin,Attention !!!!,Working Stiffs,Blanskys Girls
65,"This 80s show, that took place in the fictional town of Glen Lawn, California, was about a black housekeeper who took care of three teenage girls, whose father was a police chief.
",Gimme A Break,The Chief,Gimme A Break,Kojak,Just The Ten Of Us
66,"This 80s television series, set in Connecticut, was about a male housekeeper who worked for the president of an advertising agency.
",Whos the Boss?,Whos the Boss?,Whos Watching The Kids,I Will Clean Your House,Just the Two Of Us
67,"This 80s show was about a probationary angel named Jonathan. His unusual mission on earth was to bring love and understanding into the lives of people who were in trouble.
",Highway to Heaven,Amen,Help The People,Highway to Heaven,Wings
68,"What Canadian actor played Dr. Arthur Harmon in sitcom, Maude and than went on to star in Diffrent Strokes?
",Conrad Bain,Conrad Bain,Gordon Jump,Jerry Van Dyke,Danny Thomas
