,Questions,Correct,A,B,C,D
0,"This drink contains caffeine.
",Coffee,Mineral water,Orange juice,Coffee,Beer
1,"Finish the proverb:
",,"ets are born, ________.",...not made.,...not made.,...but can also be made.
2,"ts are born, ________.
",...not made.,...not made.,...but can also be made.,...but thats not for sure.,"..., long live the poets!"
3,"If a TV program is rated G then this is true.
",It is suitable for all audiences.,It contains moderate violence.,It contains mild sexual situations.,It is suitable for all audiences.,It is suitable for young children.
4,"The theory of relativity was introduced in physics by this man.
",Albert Einstein,Galileo Galilei,Albert Einstein,Archimedes,Isaac Newton
5,"The symbol for the chemical element iron is this.
",Fe,I,Fe,Zn,Br
6,"The author of the novel A Portrait of the Artist as a Young Man is this writer.
",James Joyce,T. S. Eliot,Samuel Beckett,William Faulkner,James Joyce
7,"The capital of Mongolia is this city.
",Ulaanbaatar,Davao,Islamabad,Quezon,Ulaanbaatar
8,"Mitochondrias function in cells is to perform this.
",To convert organic materials into energy,To control chemical reactions within the cytoplasm,To store information needed for cellular division,To convert organic materials into energy,To process proteins targeted to the plasma membrane
9,"The US bought Alaska in this year.
",1867,1942,1882,1854,1867
10,"The 23rd US President was in office during this period.
",1889 - 1893,1909 - 1913,1889 - 1893,1837 - 1841,1877 - 1881
11,"One of these actors did not star in the 1971 movie A Clockwork Orange.
",Warren Brown,Michael Bates,Patrick Magee,Warren Brown,Malcolm McDowell
12,"The first Bulgarian state was formed in this year.
",681 AD,429 AD,681 AD,712 AD,651 AD
13,"The 1962 Soccer World Cup tournament was held in this country.
",Chile,Switzerland,Mexico,Chile,Italy
14,"The Meryas were a probably Finno-Ugric tribe who lived in the region of modern Russia. This is the first historian to mention them.
",Jordanes,Eusebius of Caesarea,Jordanes,Priscus,Sima Guang
15,"The word abacus derives from a Hebrew word, meaning this.
",Dust,Movement,Sky,Dust,Wood
16,"The Chevy Nova sold poorly in Mexico because no va means doesnt go in Spanish.
",False,False,True,,
17,"A car that gets over 200 miles per gallon is reclaimed by the factory, after its owner calls to congratulate the manufacturers about its excellent performance.
",False,True,False,,
18,"A very complicated Honda Accord commercial required 606 takes and was done without the use of any computer-generated images.
",True,True,False,,
19,"Putting sugar in the gas tank of a carburetor-equipped vehicle will ruin the engine.
",False,False,True,,
20,"Man bought an old motorcycle only to discover that it was once owned by Elvis Presley.
",False,False,True,,
21,"Cars were stolen by thieves who wrote down VINs (car serial numbers)  and used them to obtain duplicate keys through auto dealerships.
",True,True,False,,
22,"After an earthquake in  1989, a car thief was found crushed under a collapsed freeway overpass in the vehicle hed stolen.
",False,False,True,,
23,"An artist painted a 60 ft. tall image of a naked woman above a tunnel in Malibu Canyon in 1966.
",True,False,True,,
24,"Police officers who use slimjims to assist locked out motorists have been killed by airbags.
",False,False,True,,
25,"A speeder caught by photo radar, sends the police a photograph of money to pay his fine.
",True,True,False,,
26,"Sean Connery, George Lazenby, Roger Moore, Timothy Dalton and Pierce Brosnan have all played the role of a fictional British spy. Who was that character?
",James Bond,James Bond,Johnny English,Jim Malone,Eliot Ness
27,"Man On The Moon, Amadeus and One Flew Over the Cuckoos Nest are all movies directed by him.
",MiloÅ¡ Forman,Stanley Kubrick,MiloÅ¡ Forman,Pedro AlmodÃ³var,Martin Scorsese
28,"Across the Hall, Friends Like Us, Insomnia Café and Six of One are all working titles of one of famous US TV-series.  Name the series.
",Friends,Friends,Sex and the City,ALF,One Tree Hill
29,"The common link between these four movies -Chicken Run, Harry Potter, The Mummy Returns and Cast Away, is that...?
",They all are produced by one and the same company.,They all treat one and the same social problem.,They all are produced by one and the same company.,One and the same actor is starring in all of them.,They all refer to one and the same social class.
