,Questions,Correct,A,B,C,D
0,"Which of these is true about the sleep of zebras?
",They sleep standing up.,All of these,They sleep standing up.,They would fall asleep every 5 to 6 hours.,They need more than 12 hours of sleep a day.
1,"A farmer had 12 sheep and 3 cows. All of the animals except 9 sheep died. How many animals did he have left in his farm?
",9 sheep,5 cows and 1 sheep,9 sheep,2 cows,none
2,"I dont speak, I cannot hear, but I always tell the truth.
",The Mirror,The watch,Fish,The Mirror,Old granny
3,"Can a Roman Catholic man from California marry his widows sister who is from Texas?
",No,Yes,No,,
4,"How does this proverb continue: The squeaking wheel gets ...
",The grease,The rust,Removed,The broken,The grease
5,"An old man was looking at a photograph of a young man. Somebody asked him who it was. The mans answer was the following: Brothers and sisters, I have none. But that mans father is my fathers son. Who was in the photograph?
",His son,His cousin,His grandfather,His son,His nephew
6,"A shepherd from a village tended the sheep of those of his fellow villagers who did not tend their own. However, he did not tend the sheep of those villagers who tended their own sheep. In that village, there was only one shepherd and he also had several sheep. Can all this be true?
",No,Yes,No,,
7,"A famous story begins like that, It was a clear summer day and my family was preparing dinner for the New Years Eve. Can this story be true?
",Yes,Yes,No,,
8,"In a basket there are five apples. We give the five apples to five kids so that each kid receives an apple. However, in the basket there is still one apple. Is this possible?
",Yes,Yes,No,,
9,"Two days ago my son was three years old and next year he will be 6.  This could be a correct statement.
",True,False,True,,
10,"The single difference between the two cities A and B was that the citizens of A always said the truth, while the citizens of B never did. Once, a man who had never been to either city arrived at one of them. Which question should the man have asked in order to identify the city he was in? Have in mind, that people from A often visited their friends in B and vice versa.
",Are you a citizen of this city?,How old are you?,Are you married?,Is this city A ?,Are you a citizen of this city?
11,"You have two right triangles. The sides of the first one are 3 m, 4 m and 5 m. The sides of the second are 3 m, 4 m and 7 m. The area of the second triangle is bigger.
",False,True,False,,
12,"What number comes next in the row - 31, 28, 31, 30, ?
",31,32,31,30,29
13,"If you were running a race and passed the person in second place, what place would you be in?
",2nd,1st,2nd,3rd,Out of the race
14,"What number comes next: 1, 11, 21, 1211, 111221, 312211, 13112221?
",1113213211,131122211211,11221311,31221113112221,1113213211
15,"What is the largest number you can write out with numbers 1, 2, and 3?
","10,460,353,203","10,460,353,203",6,123,321
16,"John went to a party one night.  The next day he was asked if he met a lot people at the gathering.  Figure it out for yourself, John said.  Of the girls I spoke to, all but two were blondes, all but two were brunettes, and all but two were redheads.  How many girls did he talk to?
",3,3,6,4,2
17,"A kid found two old coins. The first coin said it was minted in 43 BC, while the other said it was minted during the reign of Emperor Nicholas I. Which of the coins was fake?
",Both,Neither one,Both,The one minted during the reign of Emperor Nicholas I,The one minted in 43 BC
18,"A contestant on a TV show had to answer 26 questions. For each correct answer he received 8 points, while a wrong answer penalized him 5 points. How many answers did the man answer correctly, bearing in mind that he eventually had 0 points?
",10,12,8,16,10
19,"Lets suppose that I offer you a bet under the following conditions: I bet $1 and claim that if you give me $5 I will give you $99 in return. Will you gain something from this bet?
",No,Yes,No,,
20,"You can put something between the digits 2 and 3 so that the resultant number is bigger than 2 and smaller than 3.
",True,True,False,,
21,"A row consists of 10 letters. The first six are - Z, O, T, T, F, F.  Which is the tenth letter?
",N,T,E,S,N
22,"You have a square and a circle and the perimeter of the square is equal to the circumference of the circle. Which of the two figures covers a bigger area?
",The circle,The square,The circle,No conclusion can be drawn from the given information.,Both cover the same are.
23,"Sometimes we see 10 but say 22, see 4 but say 16.
",True,False,True,,
24,"Can you build a house so that all its walls face north?
",Yes,Yes,No,,
25,"At the beginning of the day, I was behind a car at a stoplight, whose vanity plate read: 4SBWIU.  What is the driver of this car most likely a fan of?
",Movies,NASCAR,Fly Fishing,Movies,Sports
26,"My first stop was the supermarket.  When I had completed my shopping and was in the parking lot, I spied this snazzy auto with the following vanity plate: 10S42.  What sport is the driver of this vehicle most likely a fan of?
",Tennis,Golf,Badminton,Bowling,Tennis
27,"My next errand took me all the way across town.  I decided to take a shortcut which put me on a boulevard of small, eclectic businesses.  One of these businesses I passed on my way was a fortune tellers shop.  A Cadillac was parked out front, which, I assume, belonged to the owner of the shop. What would be the most appropriate vanity plate for this automobile?
",N2IT,PASS  THE CASH,N2IT,N3IT,N4IT
28,"On the on-ramp to the freeway, I was behind an auto with the following plate:  4IS.  What is the likely profession of the driver of this car?
",Optometrist,Zoologist,Optometrist,Biologist,Geologist
29,"Well, I got caught in noon rush hour.  As luck would have it, I saw yet another vanity plate.  This one told me that the driver at least checks in his / her rear view mirror.  What plate did I see?
",OICU2,OIUC2,OIC3,RU2,OICU2
30,"I went to my favorite restaurant to pick up some carry out for an early dinner.  I saw the owners car parked out front. The vanity plate asked a question.  What do you suppose the plate read?
",E10YET,N0TABL42,E10YET,RESORV8NS,8ISENUF
31,"I always go up and down the stairs without moving.
",A rug,A scarf,A curtain,A towel,A rug
32,"If the mother of a boy spanks him and then his father comes and does the same, who hurts the most?
",The boy,The boys brother,The mother,The boy,The father
33,"Which letter behaves as a selfish friend?
",P,S,A,P,D
34,"You always wear these flowers.
",Tulips,Roses,Daises,Tulips,Poppies
35,"12 candles were alight. The wind blew out 5 of them. How many candles were left?
",12,0,7,12,5
36,"A team of two horses ran for 3 miles. How many miles did each of the horses run?
",3,1.5,0,3,6
37,"Nine passengers carried with them enough food for five days. Several other passengers joined the first group and they all shared the same food, which was now enough for three days. How many passengers joined the first group?
",6,7,8,6,5
38,"How many times does the digit 3 occur in the numbers from 1 to 50?
",15,15,14,10,13
39,"A pole is 20 m high. An ant is climbing it as follows - every day she ascends 5 m and every night she descends 4 m. In how many days will the ant be on the top of the post?
",16,16,19,15,20
40,"A butcher had to stick a total number of 50 sheep in a week. Every day he sticked an equal number of sheep and managed to fulfill the task. How many sheep did he kill per day?
",10,10,4,8,7
41,"In a basket there are three sorts of apples. How many apples do you have to  take from the basket to make sure you have at least 2 apples of the same sort?
",4,5,4,3,2
42,"An old potter was selling pots. Once, a woman came and bought a pot for its sticker price.  She had to pay $1 plus half its price.  What was the price?
",2,2,4,3,1
43,"Four glasses and a jug weigh as mush  as 17 iron balls do. The jug weighs as much as a glass and 7 balls. How many balls does the jug weigh?
",9,9,8,10,5
44,"Three cats can eat 3 mice in 1.5 hours. How long will it take 10 cats to eat 20 mice?
",3 hours,10 hours,6 hours,3 hours,1.5 hour
45,"Is there a way you can divide 7 identical pieces of bread equally among 12 people?
",Yes,No,Yes,,
46,"A lion can eat a sheep in 2 hours, a wolf - in 3 hours, and a dog - in 6 hours. How long will it take the three animals to eat a sheep if they eat together?
",1 hour,2 hours,8 hours,1/2 hour,1 hour
47,"Two men were walking towards a river. There was a boat on one of the riverbanks. However, this boat could carry only one man at a time.  Nevertheless, both men managed to cross the river with the boat.  This is possible.
",True,True,False,,
48,"Some of my relatives are 600 times younger than me. Can this be true?
",Yes,Yes,No,,
49,"A man is carrying three croquet balls across a bridge. The bridge has a sign that says bridge can only hold 200 pounds. The man weighs 195 pounds and the croquet balls weigh 2 pounds each. The man ends up crossing the bridge in one trip and no one else helps him. This is possible.
",True,False,True,,
50,"Which letter comes next in this series:
",L-C-N-I-T-?,S,T,W,S
51,"A squirrel finds a hollow log with 9 ears of corn in it.  If he can carry out 3 ears every day, how many days will it take him to empty the log?
",9,6,3,9,None of these
52,"Suppose youre taking a multiple-choice quiz.  One question has three choices - A, B, C.  You do not know the answer and guess A. The instructor then announces that C is incorrect. Should you switch to B before turning in your paper?
","Yes, this should help","No, it would be worse","Yes, this should help",It depends on when the announcement was made,It doesnt matter
53,"A worm can gnaw through 1 mm of paper for a single day. On a bookshelf there are two volumes, each 4 cm thick. Each of the covers is 2 mm thick. How long will it take the warm to gnaw from the first page of the first volume to the last page of the second volume?
",4 days,60 days,80 days,14 days,4 days
54,"The train leaves in 2 minutes and the distance to the train station is 2 miles. If you drive the first mile at 30 miles/h, at what speed should you drive the second mile?
",It does not matter.,It does not matter.,90 miles/h,120 miles/h,60 miles/h
55,"A driver noticed that the dashboard showed he had driven a total number of 15951 miles. He thought that this was a strange number because no matter in what direction it was read (from left to right or from right to left) it was the same. However, in two hours, the dashboard showed a number that had that same characteristic. What was the speed of the car?
",55,110,55,65,450
56,"Three hunters, different in height, got stuck in a pit. They tried to get out of it and stepped one onto the other. However, the shortest, who was on top, could not reach the edge for just 5 cm. Can these three hunters ever get out of the pit without the help of anyone else or of any additional object?
",Yes,Yes,No,,
57,"In the Middle Ages a thief went into a church and fell asleep on a pew. He dreamed about stealing the cross of the minister and being sentenced to execution for that. However, just as he was about to be executed, he was woken by a local lady. Immediately after that the thief died. Modern scientists say it was due to a heart attack. Is everything okay with the story?
",No,No,Yes,,
58,"One of these pairs of numbers has this strange characteristic - when you subtract one of them from the other you get a number equal to what you will get if you divide one by the other. Can you spot it?
",25/4 and 5/4,25/4 and 5/4,24/6 and 24/8,3 and 2/12,30/6 and 36/6
59,"The local limo company have recently expanded their inventory and no longer have enough room for all of their limos. Fifteen of the limos have to be stored outside. If they decide to increase their garage space by 50%, this will give them enough room for all of their current limos, plus enough room to store another fifteen in the future. How many limos does the company currently own?
",75,60,80,85,75
60,"A horse is tied to a five meter rope in front of an old saloon. Six meters directly behind the horse is a bale of hay. Without breaking his rope, the horse is able to eat the hay whenever he chooses. Assuming the horse is perfectly normal, is this possible?
",Yes,No,Yes,,
61,"A famous playboy explained to a beautiful woman his system for playing roulette: In each round, I always bet half of the money I have at the time on red. Yesterday, I counted and I had won as many rounds as I had lost. Over the course of the night, did the gambler win, lose or break even?
",lose,lose,break even,win,None of these
62,"A horse travels a certain distance each day. Strangely enough, two of its legs travel 30 miles each day and the other two legs travel nearly 31 miles. Can this be true?
",Yes,Yes,No,,
63,"A total of 15 delegates from Africa, Asia, America, and Europe meet at an international conference.
","ch continent sends a different number of delegates, and each is represented by at least 1 delegate.",erica and Asia send a total of 6 delegates.,ia and Europe send a total of 7 delegates.,ich continent has sent 4 delegates?,Asia
64,"One kid has a toy car with a strange remote control- it has only one button on it. When the car is switched on, it starts moving forward and doesnt stop until its switched off. When the boy presses the button, the car makes a 60 degree turn clockwise. Considering that this is a very lazy boy, try calculating the smallest number of times he has to press the button so that the car travels back to him.
",5,4,5,7,3
65,"Here is something like a warm-up before you get to the next one. Three friends, Peter, Nick and Tom were competing in a race. After they finished, a person ,who was late for the race, asked them who was the winner. Tom said I didnt finish first and Peter didnt finish second. Then Nick said Tom didnt finish second either. Who was the winner?
",Peter,Peter,Nick,Its impossible,Tom
66,"One watermelon weighs 10kg (22 lbs)  plus the half of its own weight. How much does it weigh?
",20kg (44 lbs),10kg (22 lbs),25kg (55 lbs),5kg (11 lbs),20kg (44 lbs)
67,"Try thinking out a random 3-digit number and writing it twice on a piece of paper, forming a 6-digit number (for example the number is  123, than you will have to put down 123123 on the paper). Now divide this 6-digit number by 7. There will be no remainder, I guarantee. Now divide the result by 11. No remainder again, I guarantee. Now divide the new result by 13.  What happened?
",The result is your original number,The result is your original number,The result is zero,There is remainder,The result is twice your original number
68,"Two dice are randomly thrown. What is the possibility that the number, formed by the two digits that come form the dice, is a prime?
",5:12,5:12,5:18,19:36,35:36
69,"Yesterday I heard an interesting conversation in a shop:
",,ient: How much is one?,lesman: Twenty cents.,ient: What about ninety four?,lesman: Thirty cents.
70,"ent: How much is one?
",lesman: Twenty cents.,ient: What about ninety four?,lesman: Thirty cents.,"ient: OK, Ill buy twenty nine. How much is it?",lesman: Twenty cents.
71,"it possible that it was a real product they were talking about?
",Yes,No,Yes,,
72,"4, 7, 12, 19, 28, 39, ??
",52,11,67,78,52
73,"A man buys a horse for $60. After a while he sells it for 70$. Some time passes and the man regrets his decision and goes to buy the horse again. But now he has to pay $80 for it and he does. After a while he regrets to have bought the horse back and sells it for $90. Now in total, how much loss/profit did the man make from the three transactions?
",$10,$10,- $20,$20,0
74,"Somewhere, there is a very interesting village. And whats so interesting about it? Well, in this village there is a barber, a very special barber. He cuts the hair of everybody in the village that doesnt cut his own hair.  Who then cuts the barbers hair?
","Such village cannot exist, it is a paradox",The barber of another village,Noone,Himself,"Such village cannot exist, it is a paradox"
75,"Two men were playing for title of  championship of the world for the checkers tournament. They each played five games and they each won three. There were no ties, is this possible?
",Yes,No,Yes,,
76,"Take two apples from three apples and what do you have?
",two apples,no apples,two apples,three apples,one apple
77,"A famous, well respected archaeologist went on a dig in Jerusalem. He found a coin dated 56 B.C. He was so excited, he rushed to the museum so it could be put on display. But the museum wouldnt accept the coin because they said it could not possibly be authentic. They said that the coin had to be a fake.
",True,True,False,,
78,"In what country can your spouse be jailed along with you if you are caught drinking and driving?
",Malaysia,Pakistan,Germany,India,Malaysia
79,"Approximately how much money does the taxpayer spend on a prisoner serving a life sentence in California?
","1,550,000","750,000","500,000","100,000","1,550,000"
80,"What creature is responsible for the most human deaths?
",The mosquito,The brown recluse spider,The hippo,The great white shark,The mosquito
81,"What is the largest county in the US?
","San Bernadino, CA","Bernalillo, NM","Maricopa, AZ","Dade, FL","San Bernadino, CA"
82,"Is it possible to test positive on a breathalyzer after drinking only a glass of milk?
",Yes,Yes,No,,
83,"I have four legs in the morning, two legs in the afternoon and three legs in the evening. What am I?
",A human,A tortoise,A sloth,A human,A raven
84,"Why do Chinese people eat more rice than Japanese people?
",Because Chinese people are more than Japanese people,Because Chinese rice ripens more quickly than Japanese rice,Because Chinese people are more than Japanese people,Because Japanese people export rice for other countries and the Chinese dont,Because Chinese rice is more delicious than Japanese rice
85,"This is the smartest letter.
",Y,A,Y,C,W
86,"Which is the month that allows women to talk the least?
",February,February,December,August,March
87,"What is the number of men born last year in USA?
",None,None,2 013 841,6 914 381,1 502 106
88,"This is what you can see once in a minute, twice in a moment, but never in a thousand years.
",The letter M,The sun,An eclipse,A Solstice,The letter M
89,"With a red beard, gray mustache and black sideburns, the man had a distinct HIRSUTE quality. What does hirsute mean?
","hairy, shaggy, covered in hair","hairy, shaggy, covered in hair","mysterious, always in disguise",eccentric,multicolored
90,"Stacy was extremely annoyed by Jills PECCADILLO. Jill constantly ate food with her mouth open. What does the word peccadillo mean?
",a petty fault,chewing loudly,vegetarian,disgusting manners,a petty fault
91,"DERIDE means to laugh at someone with contempt.
",True,False,True,,
92,"Jerry was worried he would mumble and slur his words, so he had to go slowly and try to ENUNCIATE each word. Words might get lost if you dont enunciate. What does enunciate mean?
",pronounce articulately,shout and project,mask drunkenness,pronounce articulately,mime and gesticulate
93,"Annas brother took his AVUNCULAR duties very seriously. He taught her children how to read, write and speak German. What does avuncular mean?
",Adjective of an uncle,Adjective of a mentor,Qualities of a Germanic monk,Adjective of a father,Adjective of an uncle
94,"When Jack and Jill went to see The Notebook, Jill was surprised at Jacks obvious display of his LACHRYMOSITY. What was Jack doing?
",crying,talking loudly,crying,laughing,sleeping
95,"A CHORTLE is an tool used to cut pastry dough.
",False,False,True,,
96,"The rancid meat attracted flies and maggots and wafting from it was a FETID odor. What is the meaning of fetid?
",stinking,stinking,chemical,sweet,food
97,"The king required FEALTY from all his vassals. What does the word fealty mean?
",allegiance,allegiance,food,"payment, rent",livestock
98,"The siblings were complete opposites. Tom was pedantic and read all the time and Lucy was LUDIC. She was always getting mud on her clothes. What is the meaning of ludic?
",playful,outdoor-loving,playful,clumsy,illiterate
99,"The vegetable rhubarb is delicious but its leaves are poisonous. What did rhubarb originally mean?
",root of the barbarian,edible poison,beware,root of the barbarian,poisoned ruby
100,"What modern slang term once meant a carnival worker who performed disgusting tasks such as biting off the heads of live chickens?
",Geek,Nerd,Geek,Dork,Freak
101,"What is heavier a pound of bricks or a pound of feathers?
",Their weight is equal,There is no way to tell,The feathers,Their weight is equal,The bricks
102,"A farmer had 20 sheep. All but 8 died. How many are still alive?
",8,0,12,15,8
103,"In a house with a maid, a mail receiver, and a chef, the owner was murdered on a Sunday morning. The police questioned all the 3 people (the chef, the mail receiver, and the maid). The chef said; I was making her breakfast. The mail receiver said; I was getting the mail., and finally the maid said; I was cleaning her living room. The police arrested one of them right after the interview. Who got arrested?
",The mail receiver,The maid,The mail receiver,The chef,She committed suicide
104,"There is a branch with 10 birds on it. I shot 2 of them and then 1 more. How many birds are left on the branch?
",0,0,2,8,7
105,"If you have in your suitcase 6 white socks, 4 red socks, 8 green socks, and 2 brown socks, how many socks would you have to pull out (without looking at them) to be sure you have a matching pair?
",5,6,8,4,5
106,"Joe had 29 pairs of socks. How many socks did he have?
",58,60,58,56,29
107,"One camera could take 350 pictures and Bob bought 3 cameras of the same type. How many pictures could he take?
",1050,700,none,1050,350
108,"One iPod can hold 950 songs and 3 movies. How many iPods of this model would one person have to buy to have 27 movies and 8550 songs?
",9,8,10,7,9
109,"In an office building, there are 350 windows and half as many doors. How many doors are there in 3 office buildings?
",525,525,500,550,575
110,"A monster had double the amount of eyes he had ears, triple the amount of ears he had legs, and had six legs. How many eyes did he have?
",36,34,26,36,41
111,"If I had $654,987, how much change is that?
","65,498,700 cents","66,345,200 cents","65,783,500 cents","65,498,700 cents","65,577,200 cents"
112,"In a rectangular room there are 10 chairs. It is possible to arrange the chairs in such a way so that an equal number of chairs is set against each wall of the room.
",True,False,True,,
113,"Five years ago the sum of the age of a sister and a brother was 8. What will be the same sum in 5 years?
",28,It will not change.,18,13,28
114,"In a room, there can be two mothers and two daughters, three women in total.
",True,True,False,,
115,"A woman once said about a man, I am not his wife but this mans mother is the mother-in-law of my mother. What were the man and the woman?
",A daughter and a father,A daughter and a grandfather,A brother and a sister,A daughter and a father,A mother and a son
116,"A cowboy was looking after 100 animals (oxen, cows and calves). For his job he was paid $100 (for every ox he received $10, for every cow $5 and for every calf $0.5). How many were the oxen, the cows and the calves?
","1 ox, 9 cows, 90 calves","9 oxen, 1 cow, 10 calves","10 oxen, 10 cows, 10 calves","1 ox, 9 cows, 90 calves","3 oxen, 50 cows, 47 calves"
117,"A farmer had 9 cows. The first one produced 1 gallon of milk, the second one 2 gallons and so on. The ninth cow produced 9 gallons of milk. The farmer had three sons and he wanted to divide the cows in such a way that each of his sons received an equal number of cows and the cows of each produced an equal amount of milk. Is that possible?
",Yes,Yes,No,,
118,"In a lake there were lilies. The strange thing about them was that they doubled their number once per day. If on the 15th day half of the lake was covered with lilies, on which day will the whole lake be covered with them?
",16,22,16,7,30
119,"A peasant buys a pregnant sheep, which gave birth to a lamb. At the age of 3, the lamb gives birth to another lamb. After that it starts bearing a lamb per year. How many sheep will the peasant have 9 years after the birth of the first lamb if all the lambs are female and none of them ever dies?
",60,54,78,60,97
120,"A farmer had a yard, whose shape was a square, and in the four corners of this square there were apple trees. Some years later the farmer decided to make his yard twice as big and preserve the square shape. However, after the enlargement the four apple trees were still by the fence.
",True,False,True,,
121,"Marsha dug her FUNEREAL attire out of the closet. It consisted of a black dress and a black overcoat. What does funereal mean?
",having to do with a funeral,monotoned,frumpy,oversized,having to do with a funeral
122,"The newly blooming lavender was a HARBINGER of spring. It was beautiful and fragrant. What does harbinger mean?
",a sign of things to come,an ode,rebirth,pleasant to the senses,a sign of things to come
123,"Her passion for art bordered on pathological MONOMANIA. Shes a sculptor, studies medieval art in night classes, frequents galleries and is often caught doodling in a notebook. What does monomania mean?
",excessive concentration one one subject,excessively busy,excessive concentration one one subject,extremely wealthy,patronising culture
124,"It wasnt accidental it was pure KISMET that Joey fell in love with Laura. What does kismet mean?
","fate, destiny","fate, destiny","contrived, forced",planned,a happy accident
125,"Because Ben travels to many countries for business, he has written a POLYGLOT lexicon for himself. It contains quick references on phrases he might need in any given situation. What does polyglot mean?
",containing many languages,containing many maps,containing many words,containing many languages,pertaining to business ventures
126,"A QUAGMIRE is a difficult or precarious situation.
",True,True,False,,
127,"The fortune teller persuaded Anna that she needed a PHILTER to gain the attention of her beau. She only needed to apply the elixir and think of him. What does PHILTER mean?
",love potion,love potion,medicinal cream,makeup,alcoholic beverage
128,"Matt and Julie asked their son How was your day at school? and they always received the same BRUSQUE answer-fine. Brusque means habitual, constant, the same.
",False,True,False,,
129,"Jack grabbed Janets hand and they began to GAMBOL in the sunshine. They felt like children, not a care in the world. What does gambol mean?
",to frolic and leap playfully,to wager money on an outcome,to sing  a duet,to have sex,to frolic and leap playfully
130,"To ESCHEW something means to be attracted to it.
",False,True,False,,
131,"After a long walk, two sons and two fathers find three apples. Each of them has an apple and they all go their way. How is that possible?
","they were a boy, his father and his grandfather","they were a boy, his father and his grandfather",the sons were cousins,one of them had a hidden apple,the sons were twins
132,"The name of what is coded in the following: 86,smopuim?
",the name of a software product,it does not mean anything,the name of a software product,a NASA aircraft,a secret CIA project
133,"Five girls are sitting next to each other on a train.  Ann and Betty are as close to each other as Ann and Kate are.  Dana and Ann are sitting as close to each other as Dana and Kate are. Between which two of her friends is the fifth girl, Jane, sitting?
",between Ann and Betty,between Dana and Betty,between Ann and Betty,between Betty and Kate,between Kate and Dana
134,"What number multiplied by 10 equals the square of the same number, times 5?
",2,4,5,2,10
135,"Bob has a book of 100 pages and in 10 seconds he can count out 10 pages. What is the shortest time in which Bob can define where the 60th page is?
",40 seconds,40 seconds,59 seconds,15 seconds,60 seconds
136,"Two people get to a river and find a boat capable of accommodating only one person. Using this boat, both of them manage to cross the river. If they crossed without any of the them swiming the river which of the following is true?
",They were on different banks of the river.,The river was wider than longer.,This is impossible.,They were on different banks of the river.,There was a bridge on the river.
137,"Which term refers to a king or prince in India?
",raja,raja,haraj,majah,namaste
138,"Complete the Latin term for an unacceptable person: persona non _____.
",grata,dedicata,accepta,grata,ingrata
139,"There are 15 birds sitting on the branches of a tree. A hunter goes by and shoots 3 of them. How many birds are left on the tree?
",0,12,10,3,0
140,"A man walked by an old fisherman and asked him how many fish he had caught. The fisherman replied: The half of the eight, the nine without its tail, and the six without its head. How many fish did the fisherman caught?
",0,9,19,6,0
141,"A tree is 20 meters tall. An ant is climbing it. Every day the ant climbs 5 meters, and each night it descends 4 meters. In how many days will the ant reach the top of the tree?
",16,10,13,20,16
142,"A bar of soap is placed on one of the sides of a pair of scales. On the other side there is 3/4 of a bar of the same soap and Ð° 3/4 kg metal weight. The scales are in balance. How much does a bar of soap weigh?
",3 kg,2 kg,1 kg,4 kg,3 kg
143,"There are three sorts of apples in a basket. How many apples have to be taken from the basket, without looking, to be sure that there are at least 2 apples of the same sort?
",4,3,4,10,8
144,"A boy and a pig weigh as much as 5 crates. The pig weighs as much as 4 cats. 2 cats and the pig weigh as much as 3 crates. How many cats weigh as much as the boy?
",6 cats,5 cats,6 cats,8 cats,9 cats
145,"A fish costs a dollar and half a fish. How much do 5 fish cost?
",$10,$20,$10,$15,$5
146,"There are three lemons. One of them is lighter than the other two, which have the same weight. Can we tell which of the lemons is the lighter one with just one measurement on the scales?
",Yes,No,Yes,,
147,"A father has seven sons, and each son has one sister. How many children does the father have?
",8,15,9,14,8
148,"Several rabbits and hens are placed together in a cage. How many rabbits and hens are there, if the total number of their heads is 35, and the combined number of their legs is 94?
",12 rabbits and 23 hens,10 rabbits and 24 hens,13 rabbits and 20 hens,12 rabbits and 23 hens,20 rabbits and 13 hens
149,"Is there a kind of coat that can only be put on wet?
",Yes,Yes,No,,
150,"10% of all the people living in a certain town in Georgia have unlisted phone numbers. If you selected 100 names at random from the towns phone book, on average, how many of these people would have unlisted phone numbers?
",0%,0%,15%,35%,10%
151,"A magician had a water glass filled to the top. Holding the glass above his head he let it drop to the floor without spilling a single drop of water. Is this possible?
",Yes,No,Yes,,
