,Questions,Correct,A,B,C,D
0,"If youve ordered a burn one, take it through the garden, pin a rose on it, what can you expect to be placed in front of you?
","Hamburger with Lettuce, Tomato and Onion",Hot Dog with Chili and Coleslaw,Lamb Shish - Kabob,"Hamburger with Lettuce, Tomato and Onion",Tuna Melt on Rye with Lettuce and Dill Chips
1,"If the girl next to you orders baled hay, life preserver and java for breakfast, what has she ordered?
","Shredded wheat, donut and coffee","Cream of wheat , donut and coffee","Hash browns, omelet, and coffee","Buckwheat pancakes, danish, and coffee","Shredded wheat, donut and coffee"
2,"Noahs Boy refers to a fish sandwich.
",False,False,True,,
3,"Its your first day on the job at your favorite diner!  The waitress next to you yells out to the short order cook that she needs two cows, make them cry, and paint em red.  What has she requested the short order cook to prepare?
","Two hamburgers with onions, cover in ketchup","Two hamburgers with onions, cover in ketchup",Two orders of beef liver and onions with ketchup,Salisbury steak with American sauce.,"Double cheeseburger, no onions, special sauce"
4,"Your friends favorite breakfast is a shingle with shimmy and shake, squeeze one.   What does he like to eat for breakfast?
",Buttered toast with jam and orange juice,French toast and apple juice,"Link sausage,  toast and juice",Buttered toast with jam and orange juice,Short stack of pancakes and instant coffee
5,"A guy orders a drag it through Georgia for his son.  What has he ordered?
",Cola with chocolate syrup,Fried chicken basket,"Chili dog, all the way",A slice of key lime pie,Cola with chocolate syrup
6,"What is diner-speak for an order of hash?
",Customer will take a chance,Burn the British,Gravel train,Customer will take a chance,Pittsburgh
7,"Mom always told you to get plenty of iron in your diet, so you order a put out the lights and cry.  What item have you ordered?
",Liver and onions,"Patty melt, no onions",Ham on rye with soup,T - Bone steak with onions,Liver and onions
8,"Keep off the grass in diner-speak means this.
",Hold the lettuce,Tomato only,Like the sign says...,No parsley,Hold the lettuce
9,"The final order of the night is for a Bow - wow, Pittsburgh on the bun, frog sticks, and a 55 with Hail.  What has been ordered?
","Hot dog, burn or toast the bun, side of french fries and a root beer with ice.","Bratwurst, no bun, mashed potatoes, cherry coke with Ice.",Bacon wrapped steak with fries and black coffee.,"Kielbasa, extra mustard, frog legs and a chocolate shake.","Hot dog, burn or toast the bun, side of french fries and a root beer with ice."
10,"A fellow comes in on the night shift and orders a Hockey puck with wax, wreck em, frog sticks in the alley, and draw one in the dark.  What on Earth does he want to eat?
","Well done burger with American cheese, fries on the side, scrambled eggs, and black coffee.","Medium-rare burger, onion rings, fries, and a strawberry shake.","Tuna salad with cheese, fries on the side and black forest cake.","Liver, no onions, frog legs, fried eggs, and black coffee.","Well done burger with American cheese, fries on the side, scrambled eggs, and black coffee."
11,"Chicks on a raft with blowout patches refers to what?
",Eggs on toast with pancakes,Western omelet with french toast,Eggs on toast with pancakes,Scrambled eggs and sausage,Fried chicken and mashed potatoes
12,"Finally, a customer orders Bossy in a bowl, bullets or whistleberries, a blonde with sand, a bucket of cold mud, and belchwater.  What have they ordered?
","Beef stew, baked beans, coffee with cream and sugar, chocolate ice cream, and seltzer water.","Beef stew, baked beans, coffee with cream and sugar, chocolate ice cream, and seltzer water.","Chili con carne with Lima beans, ice tea, a vanilla sundae and a Perrier water.","Tomato soup, fried okra, root beer, chocolate ice cream, and Perrier water.","Chicken noodle soup, blackberries, vanilla coke, German chocolate cake and seltzer water."
13,"Due to the shape of its fruits, Aztecs called this tree Ahuacuatl, which meant testicle tree.
",Avocado,Apple,Banana,Avocado,Pear
14,"This fruit is generally considered to grow on a tree, but the tree is actually a giant herb. The fruit contains potassium and vitamin B, which are necessary for the production of sex hormones.
",Banana,Strawberry,Banana,Peach,Cherry
15,"This food is a very good source of energy. It also contains phenylethylamine, which triggers the same reaction in the body as falling in love does.
",Chocolate,Honey,Beeswax,Chocolate,Sugar
16,"Although too smelly, this member of the onion family is considered to be an aphrodisiac. It also has antioxidant properties and is used in alternative medicine.
",Garlic,Spinach,Leeks,Celery,Garlic
17,"Although natural, this food contains more calories than beet-sugar. It is used in a lot of skin-care products, but in the ancient Egyptians considered it --to be a cure for impotence and sterility.
",Honey,Honey,Chocolate,Avocado,Cinnamon
18,"This very nutritious and rich in proteins seafood is stated to be the favourite one of Casanova. He was famous as one of the worlds greatest lovers and an ardent connoisseur of this food, which was always on his menu.
",Oysters,Crabs,Fish,Oysters,Leeks
19,"These fruits were used as wedding breakfast in France. Newlyweds had a soup of thinned sour cream, borage and powdered sugar, and these.
",Strawberries,Strawberries,Blackcurrant,Cherries,Peaches
20,"As this drink relaxes and stimulates the senses, it is considered the proper drink for a romantic evening. The recommended quantity is one or two glasses, otherwise you will get sleepy and spoil the moment.
",Wine,Whisky,Tea,Wine,Coffee
21,"This drink is a widely known stimulant, but if you have too much, it becomes a depressant. Its active ingredient - caffeine - is known as the worlds most popular drug.
",Coffee,Water,Orange juice,Tea,Coffee
22,"Having been cultivated for more than 1000 years, this is one of the oldest spices in the world. However, you should be aware of its hallucinogenic properties it taken in large quantities. In Asia, It was highly appreciated for its aphrodisiac qualities.
",Nutmeg,Black pepper,Nutmeg,Turmeric powder,Cinnamon
23,"Whisky is traditional for this country. The beverages color can give you a hint about its age.
",Scotland,Wales,USA,Scotland,Ireland
24,"Tequila is named after a town with the same name in the country where it is a traditional drink.
",Mexico,Chile,Spain,Portugal,Mexico
25,"Vodka is traditional for this country. People there like to flavor vodka with lemon peel, pepper or herbs.
",Russia,Ukraine,Russia,Macedonia,Romania
26,"Rakia is a strong alcoholic drink made of various fruits, usually grapes, plums or apricots.
",Bulgaria,Finland,Hungary,Russia,Bulgaria
27,"Pastis is the most popular aperitif in this country. It is made with anise, licorice and additional aromatic plants.
",France,France,Italy,Switzerland,Germany
