,Questions,Correct,A,B,C,D
0,"Three of these animals hibernate. Which one does not?
",Sloth,Mouse,Sloth,Frog,Snake
1,"All of these animals are omnivorous except one.
",Snail,Fox,Mouse,Opossum,Snail
2,"Three of these Latin names are names of bears. Which is the odd one?
",Felis silvestris catus,Melursus ursinus,Helarctos malayanus,Ursus minimus,Felis silvestris catus
3,"These are typical Australian animals except one.
",Sloth,Platypus,Dingo,Echidna,Sloth
4,"Representatives of three of these species produce venom of their own. Which is the odd species?
",Mosquitos,Lizards,Scorpions,Frogs,Mosquitos
5,"Three of these species shed their skin. Which one does not?
",Penguins,Penguins,Snakes,Insects,Crustaceans
6,"All dogs, cats and birds are colorblind.
",False,True,False,,
7,"All of these animals have large ears (relative to their size) except one.
",Polar bears,Polar bears,Foxes,Bats,Elephants
8,"This percentage of all snakes on Earth are lethal to humans.
",15%,10%,20%,15%,25%
9,"Snakes are this kind of animals.
",Carnivorous,Herbivorous,Omnivorous,Carnivorous,Vegetarian
10,"Snakes consume their food by means of this process.
",Swallowing,Breathing,Absorption,Swallowing,Chewing
11,"Snakes reproduce only by laying eggs.
",False,True,False,,
12,"Snakes are deaf.
",True,True,False,,
13,"Snake skin is covered in scales.
",True,True,False,,
14,"Snakes belong to the following category.
",Reptiles,Invertebrates,Lizards,Reptiles,Mammals
15,"A specialist in snakes is called one of these.
",Ophiologist,Pisciculturist,Ornithologist,Ophiologist,Herpetologist
16,"One of the following snakes does not belong to the Viperidae family.
",Grass snake,Horned adder,Grass snake,Viper,Asp
17,"Snakes are very likely to attack us, regardless of whether they feel threatened or not.
",False,True,False,,
18,"Cobras are venomous snakes of family Elapidae, that generally inhabit regions of these two continents.
",Asia and Africa,South America and Asia,Asia and Africa,Asia and Australia,South America and Australia
19,"The cobras most recognizable feature is its hood, a flap of skin and muscle behind the head, believed to serve this purpose.
",More threatening appearance,Balance control,Heat collection from sun rays,Camouflage,More threatening appearance
20,"The Cobra is at the top of the food chain, with only two main predators -- one is man and the other is this animal.
",Mongoose,Jackal,Mongoose,Lynx,Eagle
21,"This is where the Cobras ribs are situated.
",Behind its head,Behind its head,"In its chest, around the middle of the body",Cobras have no ribs,In its tale
22,"The King Cobra feeds almost exclusively on other snakes, even toxic ones.
",True,True,False,,
23,"A baby cobra is fully able to defend itself in as little as this many hours after being born.
",3,3,12,48,72
24,"What type of dog did Richard Nixon receive from a Texan while he was a candidate for Vice President?
",Cocker Spaniel,German Shepherd,Cocker Spaniel,Golden Retriever,Welsh Corgy
25,"What was the name of Socks companion at the White House during the Clinton Administration?
",Buddy,Buddy,Shoes,Bailey,Buster
26,"President Fords dog was named Freedom.
",False,False,True,,
27,"Which of these Presidents had the most pets?
",Theodore Roosevelt,Franklin Delano Roosevelt,Theodore Roosevelt,Bill Clinton,Woodrow Wilson
28,"What breed is known as the favourite breed of Queen Elizabeth II?
",Welsh Corgi,Border Collie,Old English Sheepdog,Welsh Corgi,Australian Cattle Dog
29,"What was the name of Fraisers fathers dog on the hit TV show set in Seattle?
",Eddie,Niles,Marty,Eddie,Skip
30,"Which one of these sea mammals is not in the endangered species lists?
",Pilot whale,Fin Whale,Pilot whale,Blue Whale,Humpback Whale
31,"This endangered turtle is the biggest of all living turtles, reaching a length of over 2.7 m (8.8 ft) and weight of 900 kg (2,000 lb).
",Leatherback Sea Turtle,Leatherback Sea Turtle,Kemps Ridley Turtle,Hawksbill Sea Turtle,Mesoamerican River Turtle
32,"Name the rarest and most endangered of all wolves.
",Red Wolf,Red Wolf,Ethiopian Wolf,Black-backed Wolf,Gray Wolf
