,Questions,Correct,A,B,C,D
0,"Greta Garbo was successfully treated for this disease.
",Breast cancer,Tuberculosis,Breast cancer,Hepatitis,Cirrhosis
1,"In 1952, A.S. Douglas developed the first graphical game to run on a computer.  It ran on the EDSAC.  What was the name of this game?
",OXO,Go,Check It,OXO,Tennis For Two
2,"Nolan Bushnell is considered to be the father of the video arcade industry. In 1972 he founded his own game company and together with Ted Dabney and Al Alcorn released the first arcade video game with major success- Pong. What was the name of his company?
",Atari,Nutting Associates,Nintendo,Sega,Atari
3,"Pong was first installed at a high school.
",False,False,True,,
4,"In 1972 a company named Waco released the first handheld electronic game. What was its name?
",Tic Tac Toe,Cross,Tic Tac Toe,Tetris,Microvision
5,"In 1978 Taito released one of the most influential arcade video games. It was called Space Invaders and marked the beginning of the Golden Age of arcade games. What was the thing that the player controlled in Space Invaders?
",A movable laser cannon,An alien,An anti-aircraft gun,A movable laser cannon,A cowboy
6,"Mario, probably the best-known video game character, first appeared in Donkey Kong in 1981.  His brother Luigi first appeared in Mario Bros.
",True,False,True,,
7,"Nintendo is undoubtedly one of the most successful and best known console manufacturers. Nintendo has created several TV consoles and many handheld portables, such as the Game Boy and the Game  Watch. When was the company originally founded?
",1889,1953,1985,1983,1889
8,"With the introduction of cheap and relatively powerful processors such as Intel 386, Intel 486 and Motorola 68000 3D-graphics became fashionable. It was used in FPS games like the legendary Wolfenstein 3D and Doom. Do you know what FPS stands for in this context?
",First Person Shooter,Frames Per Second,File Protocol System,Firing Per Second,First Person Shooter
9,"Sonic the Hedgehog is a mascot of Sony Playstation.
",False,False,True,,
10,"When in 1996 3dfx released the Voodoo chipset, it made high-resolution and more-detailed 3D games possible. One of the first games to take advantage of this was Quake. Do you know which company released this marvelous game?
",id Software,Microsoft,Valve,id Software,Blizzard
11,"These fictional superheroes were born, when a container of radioactive waste bounced off a truck and struck a young boy, turning him into Daredevil.
",Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,Pre-teen Dirty Jean Kung-fu Kangaroos,Adolescent Radioactive Blackbelt Hamsters,Miami Mice
12,"This superhero, who first appeared in the comic book Tales of Suspense, used his own invention to keep his heart pumping.
",Iron Man,Mr. Fantastic,Ant Man,Iron Man,The Hulk
13,"This Marvel Comics superhero, whose birth name was Peter Benjamin Parker, first used his new found superpowers as a professional wrestler.
",Spiderman,Superman,Spiderman,The Thing,Green Arrow
14,"This comedic superhero, created by Ben Edlund, met an accountant named Arthur, after taking a long bus ride into The City.
",The Tick,The Tick,Thor,The Shadow,Darkman
15,"These comic book superheroes were trained in Professor Xaviers School for Gifted Youngsters.
",The X-Men,The Fantastic Four,The X-Men,Power Pack,The Avengers
16,"Which Marvel Comics character became a ruthless vigilante, after witnessing his familys violent murder?
",The Punisher,The Crow,The Punisher,Judge Dredd,The Scourge
17,"This DC Comics superhero, whose true identity is Bruce Wayne, decided to train himself to the peak of physical perfection after witnessing the murder of his parents.
",Batman,V (For Vendetta),Batman,The Hulk,Spawn
18,"Which fictional member ot the Teen Titans started out as Batmans sidekick?
",Nightwing,Beast Boy,Cyborg,Raven,Nightwing
19,"Fellow Justice League members Superman and Martian Manhunter have something in common. What is it?
",They are both aliens.,They are both reporters by day,They both grew up on a farm.,They both escaped from the phantom zone.,They are both aliens.
20,"Which of the following fictional heroes is a World War II veteran?
",Captain America,Batman,Captain America,Captain Commando,Thor
21,"What is the real name of Gambit who first appeared in the comic book The Uncanny X-Men?
",Remy LeBeau,Remy LeBeau,Bobby LeBeau,Scott Summers,Alex Summers
22,"Which of these X-Men characters is not a member of the Summers family line?
",Mister Sinister,Cyclops,Mister Sinister,Havoc,Cable
23,"Archangel, a mutant and a member of the X-Men, was which horseman of Apocalypse?
",Death,Death,Famine,Pestilence,War
24,"Which antagonist of the X-Men is responsible for the death of Wolverine in the comic books?
",Magneto,Juggarnaut,Sabretooth,Magneto,Lady Deathstrike
25,"Which of these X-men characters is not a mutant?
",Juggernaut,Charles Xavier,Gambit,Juggernaut,Storm
26,"In the Age of Apocalypse timeline, Wolverine, a member of the X-Men, is married to which female?
",Storm,Storm,Polaris,Jean Grey,Jubilee
27,"Who is the head of the X-Men in the Age of Apocalypse timeline?
",Magneto,Magneto,Apocalypse,Charles Xavier,Cyclops
28,"Omega Red, a foe of the X-Men, serves which country?
",Russia,Germany,Russia,The United States,Japan
29,"What is the real name of X-Men member Wolverine?
",James Howlett,Victor Creed,James Howlett,Mikhail Rasputin,Logan
30,"This member of the Hellfire Clubs inner circle, known as the White Queen, once fought against the X-Men.
",Emma Frost,Emma Frost,Jean Grey,Calypso,Phoenix
31,"When was the Miss America pageant first held?
","September 7, 1921","July 6, 1920","July 4, 1919","September 5, 1925","September 7, 1921"
32,"The most common talents performed are singing and dancing, but there have been a variety of other odd talents as well.  Which talent was performed at a Miss America pageant?
",Packing a suitcase,Blowing bubbles through a straw,Self-defense,Gymnastic moves,Packing a suitcase
33,"Who was the first Jewish Miss America?
",Bess Myerson,Marion Bergeron,Norma Smallwood,Bess Myerson,Marilyn Buferd
34,"Miss America always goes on to compete in the Miss Universe pageant.
",False,True,False,,
35,"As of the beginning of the new millenium, how many Miss America title holders were from New Jersey, the state that held the competitions?
",2,2,6,4,0
