,Questions,Correct,A,B,C,D
0,"In how many provinces is the Dominican Republic divided?
",31,31,21,None of these,11
1,"This 1973 horror film was the second of many devilish movies.
",The Exorcist,The Omen,The Exorcist,Rosemarys Baby,The Exorcism of Emily Rose
2,"What movie title was translated in Mexico as title Grow, Run and Stumble?
",Juno,Rachel Getting Married,Juno,Four Friends,All or Nothing
3,"In Spain this movie title was translated as Pigs And Diamonds.
",Snatch,Donnie Brasco,Snatch,Unforgiven,Marathon Man
4,"To the Devil with the Devil is the Mexican title of this movie.
",Bedazzled,Ghost Busters,Dogma,The Witches of Eastwick,Bedazzled
5,"What movie title was translated in Mexico as Dumb But Not That Dumb?
",Billy Madison,Besieged,Billy Madison,The Butterfly Effect,The Station Agent
6,"What movie title was translated in Italy as Four Bastards for a Room in Hell?
",Shark!,The Order,Horror,Hellboy,Shark!
7,"No Rules in Love is the Italian title of this movie.
",Leatherheads,Offside,Dear Frankie,The Blind Side,Leatherheads
8,"The Secret Is In the Sauce is the French title of this movie.
",Fried Green Tomatoes,Waitress,Fried Green Tomatoes,Paul Blart: Mall Cop,Cure
9,"The Teeth From the Sea is the French title of this movie.
",Jaws,Jaws,Shark in Venice,The Reef,Open Water
10,"This war movie is titled Voyage to the End of Hell in France.
",The Deer Hunter,Sealed Cargo,The Deer Hunter,Voyage of the Damned,A Tale of Five Cities
11,"What movie was titled Sexy Dance in France?
",Step Up,Delhi Belly,Step Up,Billy Elliot,Biloxi Blues
12,"A Supertough Kangaroo is the Spanish title of this movie.
",The Pacifier,Chocolat,Mogambo,The Pacifier,Crocodile Dundee
13,"Breaking the Ice is the Spanish title of this movie.
",Happy Feet,The Incredibles,Happy Feet,The Last Airbender,The Golden Compass
14,"Airport Attack is the Portuguese title of this movie.
",Die Hard 2,Snakes on a Plane,Heat,Delta Force 2,Die Hard 2
15,"What movie title was translated i Portugal as A Very Crazy Dead Man?
",Weekend at Bernies,Weekend at Bernies,Kiss Kiss Bang Bang,Shaun of the Dead,Waking Ned
16,"The 8th Passenger is Death is the Hungarian title of this movie.
",Alien,Alien,The Sky Dragon,Broken Flowers,Taxi Driver
17,"Popes have always been elected to their position by the College of Cardinals.
",False,False,True,,
18,"How many votes from the College of Cardinals does it take to declare a new Pope?
",Two thirds of the votes plus one,Half of the votes plus one,Two thirds of the votes,Half of the votes,Two thirds of the votes plus one
19,"What was the longest interregnum between popes?
",Two years and 9 months,14 months,8 months,Two years and 9 months,Five years and 2 months
20,"Can any baptized male be elected Pope?
",Yes,Yes,No,,
21,"White smoke has always been used to announce the choosing of a new pope.
",False,False,True,,
22,"All cardinals are appointed to their positions by a pope. Can they all vote for a new pope when the time comes?
",No,No,Yes,,
23,"Urban VII set a record for the shortest papacy. How many days was he in office?
",12 days,184 days,33 days,102 days,12 days
