,Questions,Correct,A,B,C,D
0,"Which vegetables are considered taboo food in Buddhist tradition?
",Garlic and onion,All legumes,Garlic and onion,Eggplants and tomatoes,Cabbage and lettuce
1,"Is this the correct usage of the word inferring? 
"," saying that I look good today, are you inferring that I did not look good yesterday?",No,No,Yes,
2,"Is this the correct usage of the word continually? 
",ofessor Smith gave a speech yesterday. He spoke continually for 3 hours.,No,No,Yes,
3,"Which of these sentences is correct?
",Whence did he come?,"From hence to eternity, I will search.",Whence did he come?,From whence did he come?,"If you build it, thence he will come."
4,"Which of these is correct?
",The capitol building is located in the capital.,The capitol building is located in the capitol.,The capital building is located in the capital.,The capitol building is located in the capital.,The capital building is located in the capitol.
5,"In the following sentence, which word is incorrect?  
",e schools unprincipled principal understands the principle of the argument.,None of the words is incorrect; the sentence is correct as is.,principal,unprincipled,principle
6,"Which of the following is NOT a synonym of the word reticent?
",These are all synonyms of the word reticent.,These are all synonyms of the word reticent.,Restrained,Silent,Reluctant
7,"Which of the following is incorrect?
",These are all correct usages of the word comprised.,The class comprised 30 people.,Thirty people comprised the class.,These are all correct usages of the word comprised.,The class was comprised of 30 people.
8,"Which of these is incorrect?
",All of these sentences are correct.,He woke up at six.,All of these sentences are correct.,He awoke at six.,He awakened at six.
9,"Which of these sentences means I love you in Spanish?
",Te amo.,Te amo.,Kocham cie.,Mi amas vin.,Ti amo.
10,"Rakastan sinua is one of the ways to say I love you in which European language?
",Finnish,Bulgarian,French,Finnish,German
11,"Which expression would you use to say I love you in Danish?
",Jeg elsker dig.,Jeg elsker dig.,Volim te.,I love thee.,Je taime.
12,"In what European language does Je taime mean I love you?
",French,Swedish,Italian,German,French
13,"Which of the following sentences means I love you in German?
",Ich liebe Dich.,Ich liebe Dich.,Te amo.,Volim te.,Je taime.
14,"Volim te means I love you in three of these European languages. Which is the odd one?
",Italian,Croatian,Bosnian,Italian,Serbian
15,"What is the Swahili expression for I love you?
",Nakupenda,Te quiero,Nakupenda,Ti amo,Je taime
16,"In which Turkic language does Seni seviyorum mean I love you?
",Turkish,Navajo,Hebrew,Icelandic,Turkish
17,"Name this artificially-constructed international language, in which Mi amas vin means I love you.
",Esperanto,Thai,Navajo,Spanish,Esperanto
18,"Which of these sentences means I love you in Dutch?
",Ik hou van jou.,Ti amo.,Ik hou van jou.,Ne mohotatse.,Ich liebe Dich.
19,"The implement, used to extinguish the flame of a candle, is called this.
",Candlesnuffer,Candleberry,Candleholder,Candlestick,Candlesnuffer
20,"When something contains or yields an acid, it is this.
",Acidiferous,Acidiferous,Acidophilous,Acidimetric,Acidifiable
21,"The monitoring, recording, and measuring of a living organisms basic physiological functions is known as this.
",Biotelemetry,Biomedicine,Bipartisanism,Biosystematy,Biotelemetry
22,"Enterokinase is this.
",Enzyme,Disease,Medical condition,Enzyme,Hormone
23,"Copious perspiration is known as this.
",Diaphoresis,Diaphoresis,Deuterogamy,Detumescence,Diabolisation
24,"Gerontology is the branch of medical science that deals with diseases and problems specific to these people.
",Elderly,Adults,Elderly,Blind people,Children
25,"One of these terms means preserving the mutual relations of parts, especially as to size and form; maintaining relative proportion.
",Homolographic,Homologisation,Homomorphic,Homomorphism,Homolographic
26,"Hyperplasia is the abnormal increase in the number of these.
",Cells,Species,Habitat,Teeth,Cells
27,"The authority to teach religious doctrine is referred to as this.
",Magisterium,Mastigophoran,Magistrature,Magistrateship,Magisterium
28,"The word vampire is a very controversial one, when it comes to its etymology. There are many theories about its origin and meaning. According to one of these theories, vampire comes from the Magyar words vam, meaning blood, and pir. What does pir mean in Magyar?
",Monster,Blood,Animal,Human,Monster
29,"One of the most famous vampires is Dracula (some believe that he was the first vampire). In Romanian Dracul means either Dragon or Devil and therefore Dracula is translated as Son of the Dragon or Son of the Devil. Due to his favorite sadistic punishment, Vlad Dracula was nicknamed Tepes.  He preferred to kill those who opposed him in this manner.
",Impalement,Hanging,Disembowelment,Impalement,Beheading
30,"Vlad Tepes was one of the major allies of the Ottoman Empire, therefore Romania was never put under Ottoman rule.
",False,True,False,,
31,"Of course everybody knows about the Blood Vampires. They feed on the blood of their victims and prefer sucking it from the neck, the wrist or the groin. But there is another, less known, kind of vampires.  What do they feed on?
",Aura,Vegetables,Flesh,Brains,Aura
32,"Vampires are common to the folklore of many countries. The Civatateo is an Aztec vampire, created when a noblewoman died at childbirth. In aboriginal mythology, vampires had suckers on their fingers. What are the Yakshis (sort of Indian vampires) like?
",Beautiful women,Beautiful women,Ugly Men,Wounded Wolves,Innocent Children
33,"It is believed that you can stop a vampire, by throwing rice or marbles on the floor.
",True,False,True,,
34,"One of the most popular ways of killing a vampire (apart from the trivial sharp wooden stick in the heart), is to expose the creature to sunlight. However, there is a disease, that has similar symptoms. People who suffer from it are very sensitive to sunlight and avoid going out during the day. What is this horrible disease?
",Porphyria,Anemia,Scrapie,Influenza,Porphyria
35,"This woman was believed to be a vampire. She was obsessed with her beauty and youth, and slaughtered as many as six hundred innocent women in an attempt to maintain her vitality. Although her guilt has never been proven, she is still one of the most famous serial killers in Hungarian and Slovak history.
",Elizabeth Bathory,Janos Benicka,Ilona Ujvary,Katarina Szentes,Elizabeth Bathory
